index,channel,max_change,median_change,mean_change,n
7,tiktok,12388889.251152469,936040.3950149624,3015472.5968355415,14
2,google,1925424.310110664,425791.9142881036,688257.0976637347,14
5,moloco,1388547.986035074,257243.22697653202,421568.86285693053,14
6,snapchat,1034275.5129632484,818325.03417964,783024.6452612967,14
3,liveintent,918382.5428377148,589764.5574207725,496350.43967021775,14
1,beehiiv,914887.0993267046,251800.518722367,368337.6321013244,14
4,meta,368296.7211651688,72464.17427643226,117078.87709252723,14
0,amazon,48507.14295485048,5985.226965138689,13264.543819664328,14
