run_id,channel,target_channel,targets,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,qc_status_code,qc_summary_short
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.050000|dist=LogNormal|0.002615|0.026151|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,snapchat,tiktok,tiktok,0.002615,0.026151,LogNormal,lognormal,False,0.0305374087952077,0.0283156580245122,,0.0022217507706955,0.0784636814292709,13260677.105722573,964781.2549245096,0.2587033262261684,51258239.69549421,13260677.105722573,0.2587033262261684,4342436.908989999,0.2259572447812554,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.050000|dist=LogNormal|0.002615|0.026151|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,tiktok,tiktok,0.002615,0.026151,LogNormal,lognormal,False,0.0010006577378218,0.0068657787514772,,0.0058651210136554,0.8542542988868518,175383.78163502068,-1027970.9677367172,0.0034215724667274825,51258239.69549421,175383.78163502068,0.0034215724667274825,1752685.00913,0.09120037525761927,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.050000|dist=LogNormal|0.002615|0.026151|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,moloco,tiktok,tiktok,0.002615,0.026151,LogNormal,lognormal,False,0.0665548714778075,0.06564366598924,1.388108776126039,0.0009112054885675,0.0138810877612602,5605481.619533066,76744.87989186496,0.10935766918320076,51258239.69549421,5605481.619533066,0.10935766918320076,842234.6095886,0.04382539477961466,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.050000|dist=LogNormal|0.002615|0.026151|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,liveintent,tiktok,tiktok,0.002615,0.026151,LogNormal,lognormal,False,0.1071980044928689,0.0982339989005898,9.12515594661929,0.008964005592279,0.0912515594661929,8554263.256497439,715316.1482047141,0.16688562282503414,51258239.69549421,8554263.256497439,0.16688562282503414,797987.173079,0.041522994295304996,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.050000|dist=LogNormal|0.002615|0.026151|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,beehiiv,tiktok,tiktok,0.002615,0.026151,LogNormal,lognormal,False,0.1882143936647723,0.169629193196694,10.95636907647599,0.0185852004680782,0.1095636907647599,6176674.542946555,609914.7486626226,0.12050110537622515,51258239.69549421,6176674.542946555,0.12050110537622515,328172.2732613,0.017076333918912757,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.050000|dist=LogNormal|0.002615|0.026151|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,amazon,tiktok,tiktok,0.002615,0.026151,LogNormal,lognormal,False,0.149860420913125,0.1547571389206374,-3.164130612432386,0.0048967180075124,0.0316413061243238,235884.17032480624,-7707.560525178269,0.004601878092695043,51258239.69549421,235884.17032480624,0.004601878092695043,15740.258094,0.0008190390385875116,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.002615|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,tiktok,tiktok,0.002615,0.002615,LogNormal,lognormal,False,0.022072021337226,0.0214590774127282,,0.0006129439244978,0.0285633866129884,1854398.8095237408,51496.98192691174,0.03635682035185209,51005527.75455443,1854398.8095237408,0.03635682035185209,840158.1265220001,0.04371734568128637,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.002615|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,tiktok,tiktok,0.002615,0.002615,LogNormal,lognormal,False,0.0152090188348665,0.0148373015054191,,0.0003717173294474,0.0250528931633313,15663074.885630025,382814.725304544,0.30708583118682514,51005527.75455443,15663074.885630025,0.30708583118682514,10298543.94665,0.5358812722474189,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.002615|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,snapchat,tiktok,tiktok,0.002615,0.002615,LogNormal,lognormal,False,0.0304748822965969,0.0283156580245122,,0.0021592242720847,0.0762554862830846,13233525.368186831,937629.5173887684,0.25945276817580176,51005527.75455443,13233525.368186831,0.25945276817580176,4342436.908989999,0.2259572447812554,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.002615|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,tiktok,tiktok,0.002615,0.002615,LogNormal,lognormal,False,0.0022702638534246,0.0068657787514772,,0.0045955148980526,0.6693362929971864,397905.7422667004,-805449.0071050376,0.007801227823413126,51005527.75455443,397905.7422667004,0.007801227823413126,1752685.00913,0.09120037525761927,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.002615|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,moloco,tiktok,tiktok,0.002615,0.002615,LogNormal,lognormal,False,0.0667146833923955,0.06564366598924,1.6315624470623848,0.0010710174031555,0.0163156244706239,5618941.532082128,90204.7924409276,0.11016338384186991,51005527.75455443,5618941.532082128,0.11016338384186991,842234.6095886,0.04382539477961466,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.002615|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,liveintent,tiktok,tiktok,0.002615,0.002615,LogNormal,lognormal,False,0.1025829798014213,0.0982339989005898,4.427164677712599,0.0043489809008314,0.044271646777126,8185990.205775633,347043.0974829085,0.16049221655283594,51005527.75455443,8185990.205775633,0.16049221655283594,797987.173079,0.041522994295304996,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.002615|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,beehiiv,tiktok,tiktok,0.002615,0.002615,LogNormal,lognormal,False,0.1771059059010197,0.169629193196694,4.407680401837473,0.0074767127043257,0.0440768040183747,5812124.774753952,245364.98047002032,0.11395088004427072,51005527.75455443,5812124.774753952,0.11395088004427072,328172.2732613,0.017076333918912757,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.002615|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,amazon,tiktok,tiktok,0.002615,0.002615,LogNormal,lognormal,False,0.1521998145803809,0.1547571389206374,-1.6524758457623963,0.0025573243402564,0.0165247584576239,239566.436335414,-4025.29451457053,0.004696872023131305,51005527.75455443,239566.436335414,0.004696872023131305,15740.258094,0.0008190390385875116,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.020000|dist=LogNormal|0.002615|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,tiktok,tiktok,0.002615,0.01046,LogNormal,lognormal,False,0.0215469468928252,0.0214590774127282,,8.786948009700118e-05,0.0040947464053082,1810284.253374505,7382.42577767605,0.03511215783693125,51557191.72207734,1810284.253374505,0.03511215783693125,840158.1265220001,0.04371734568128637,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.020000|dist=LogNormal|0.002615|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,tiktok,tiktok,0.002615,0.01046,LogNormal,lognormal,False,0.0156534482965556,0.0148373015054191,,0.0008161467911365,0.0550064168230601,16120772.51986914,840512.3595436625,0.31267747488593434,51557191.72207734,16120772.51986914,0.31267747488593434,10298543.94665,0.5358812722474189,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.020000|dist=LogNormal|0.002615|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,snapchat,tiktok,tiktok,0.002615,0.01046,LogNormal,lognormal,False,0.0304429108587404,0.0283156580245122,,0.0021272528342282,0.0751263782175462,13219641.973008676,923746.1222106124,0.25640733196389137,51557191.72207734,13219641.973008676,0.25640733196389137,4342436.908989999,0.2259572447812554,0.3,0.5,1.2,4,geometric,PASS,PASS
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.020000|dist=LogNormal|0.002615|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,tiktok,tiktok,0.002615,0.01046,LogNormal,lognormal,False,0.0015648799778712,0.0068657787514772,,0.005300898773606,0.7720753851069684,274274.16783025383,-929080.581541484,0.005319804253667422,51557191.72207734,274274.16783025383,0.005319804253667422,1752685.00913,0.09120037525761927,0.3,0.5,1.2,4,geometric,PASS,PASS
