run_id,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,qc_status_code,qc_summary_short,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,total_abs_pct_change,n_channels,total_abs_value_change,struct_profile_id
multi|tiktok|pmode=contribution|rpk=none|cmean=0.150000|cscale=0.050000|dist=LogNormal|0.078453|0.026151|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.078453,0.026151,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,23.30812542072941,8,9302113.58127723,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=binomial,tiktok,0.01046,0.01046,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,binomial,22.346897008373638,8,0.0,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=binomial
multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p4|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.01046,0.01046,LogNormal,False,PASS,PASS,0.4,0.5,1.2,4,geometric,18.564337238176098,8,0.0,alpha=0.4000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.020000|dist=LogNormal|0.002615|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.002615,0.01046,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,14.954108302799046,8,3659012.742192864,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=2|decay=geometric,tiktok,0.01046,0.01046,LogNormal,False,PASS,PASS,0.3,0.5,1.2,2,geometric,14.502799691737057,8,0.0,alpha=0.3000|ec=0.5000|slope=1.2000|lag=2.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.002615|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.002615,0.002615,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,12.118883372374853,8,2864028.3966336884,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p4|lag=4|decay=geometric,tiktok,0.01046,0.01046,LogNormal,False,PASS,PASS,0.3,0.5,1.4,4,geometric,12.054814304725433,8,0.0,alpha=0.3000|ec=0.5000|slope=1.4000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.050000|cscale=0.050000|dist=LogNormal|0.026151|0.026151|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.026151,0.026151,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,10.042891996130665,8,2489776.092871202,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.010000|cscale=0.005000|dist=LogNormal|0.005230|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.00523,0.002615,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,7.192634110872167,8,2118371.407003076,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.050000|dist=LogNormal|0.010460|0.026151|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.01046,0.026151,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,6.853317882169655,8,1838419.7045519678,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p2|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.01046,0.01046,LogNormal,False,FAIL,FAIL:Convergence,0.2,0.5,1.2,4,geometric,5.21269666923202,8,0.0,alpha=0.2000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.01046,0.01046,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,0.0,8,0.0,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
