channel,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason
amazon,LogNormal,0.01046,0.01046,0.1547571389206374,multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,PASS,True,False,4,0.011057517390521502,True,
beehiiv,LogNormal,0.01046,0.01046,0.169629193196694,multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,PASS,True,False,4,0.06820053514536852,True,
google,LogNormal,0.01046,0.01046,0.0148373015054191,multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,PASS,True,False,4,0.008079870115034003,False,abs(baseline_roi)=0.0148 < min_abs_baseline_roi=0.0500
liveintent,LogNormal,0.01046,0.01046,0.0982339989005898,multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,PASS,True,False,4,0.08960164116773375,True,
meta,LogNormal,0.01046,0.01046,0.0214590774127282,multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,PASS,True,False,4,0.012149456112335033,False,abs(baseline_roi)=0.0215 < min_abs_baseline_roi=0.0500
moloco,LogNormal,0.01046,0.01046,0.06564366598924,multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,PASS,True,False,4,0.030577855069013338,True,
snapchat,LogNormal,0.01046,0.01046,0.0283156580245122,multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,PASS,True,False,4,0.037072407283510016,False,abs(baseline_roi)=0.0283 < min_abs_baseline_roi=0.0500
tiktok,LogNormal,0.01046,0.01046,0.0068657787514772,multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,PASS,True,False,4,0.06896255304709499,False,abs(baseline_roi)=0.0069 < min_abs_baseline_roi=0.0500
