check,pass_count,review_count,fail_count,unknown_count,coverage_pct
convergence,15,0,0,0,100.0
baseline,14,1,0,0,100.0
bayesianppp,15,0,0,0,100.0
gof,15,0,0,0,100.0
prior_posterior_shift,15,0,0,0,100.0
roi_consistency,3,12,0,0,100.0
