channel,n_runs,n_baseline_rows,roi_median,roi_mean,roi_min,roi_max,pct_change_abs_max,delta_abs_max,contribution_median,contribution_min,contribution_max,contribution_share_median,spend_share_median,effect_share_median,roi_range,contribution_range
tiktok,15,1,0.0448725035879761,0.07169425283263745,0.0125519489989771,0.2628384139637152,,0.2179659103757391,8976838.322899546,2199961.284587147,46067294.797770895,0.15494020913183476,0.09120037525761927,0.15494020913183476,0.2502864649647381,43867333.51318375
beehiiv,15,1,0.1565807248993466,0.15616991681895318,0.1206191185396164,0.186969911729296,,0.035149623317023,5231219.109419019,3958385.032992013,6135834.096366767,0.09080134521881562,0.017076333918912757,0.09080134521881562,0.0663507931896796,2177449.063374754
moloco,15,1,0.0742107754107564,0.07861844341891504,0.0673223737378915,0.1074638672545552,,0.0332530918437988,6320845.770811783,5670123.316171086,9050978.828202143,0.10912257159240583,0.04382539477961466,0.10912257159240583,0.0401414935166637,3380855.512031057
amazon,15,1,0.1326256153391053,0.13297029574701766,0.1137477601785212,0.1502496283020203,,0.0188778551605841,210992.0459079672,179041.91028243394,236496.79280013667,0.003663354444591837,0.0008190390385875116,0.003663354444591837,0.03650186812349909,57454.88251770273
liveintent,15,1,0.0961201129201799,0.09487853808845907,0.0782214426916713,0.1055646535133322,,0.0178986702285085,7639638.521405689,6241970.792768778,8423923.94341681,0.1325677545836212,0.041522994295304996,0.1325677545836212,0.0273432108216609,2181953.1506480314
meta,15,1,0.0240915902036552,0.026133481395741252,0.0224462039132292,0.0408079150753716,,0.0167163248717163,2062350.047905495,1885836.062726943,3428510.1476993086,0.0357580929450806,0.04371734568128637,0.0357580929450806,0.0183617111621424,1542674.0849723655
snapchat,15,1,0.030713611083726,0.030569468883590526,0.0282847579491014,0.031440901546739,,0.0024898084035764,13310714.341135927,12282477.68800262,13653013.13284802,0.2317696868148502,0.2259572447812554,0.2317696868148502,0.0031561435976376027,1370535.4448454008
google,15,1,0.013786385199055,0.013521292920612367,0.0119924670682909,0.0145056110372145,,0.0019792984457065,13938698.001002327,12350494.913154673,14938667.273976482,0.2420963260005098,0.5358812722474189,0.2420963260005098,0.0025131439689236,2588172.3608218096
