channel,mu_sensitivity_roi_median,mu_sensitivity_roi_max,mu_sensitivity_contribution_median,mu_sensitivity_contribution_max
tiktok,0.06647832392238649,0.0752807160985928,11651556.177085511,13194338.258257506
amazon,0.028700310541316776,0.03251071782782679,43121.12043357306,51172.70894312006
beehiiv,0.02827899071698392,0.049675576286390494,928038.0669127814,1630214.6795469886
moloco,0.0154186703171581,0.0164864750299602,1282035.5402784823,1298613.7774946988
liveintent,0.015349701633676896,0.0184068110693867,1224886.5014263932,1468839.9130659131
meta,0.003960859899719501,0.004037225648450302,331808.3679371814,332774.8632764451
google,0.002162086471604801,0.0026857550775943005,2226634.254427949,2765936.669654323
snapchat,0.001334378098448101,0.0023817859295135017,555807.6477482207,579445.2705248911
