channel,sigma_sensitivity_roi_median,sigma_sensitivity_roi_max,sigma_sensitivity_contribution_median,sigma_sensitivity_contribution_max
tiktok,0.031315159828712504,0.1553627287720641,5488561.119029439,27230192.56963269
beehiiv,0.017275156127289,0.0234820425541451,566922.7257236317,770615.5285812374
amazon,0.01241986938131348,0.014946201659428587,19549.19495556428,23525.707164437714
liveintent,0.008054905285437897,0.011613942512000597,642771.1098145675,926777.715345338
moloco,0.006162865891431696,0.020600729696452602,519057.89480168745,1735064.7533132033
meta,0.0013377231173218006,0.0129044358634079,112389.89480542531,1084176.665882409
snapchat,0.000491561559028901,0.0024937185272574,213457.5056967754,1082881.5373394713
google,0.0004379015765153,0.0011202772202280002,450974.8630050123,1153722.418494897
