channel,mu_slice_count,mu_sensitivity_roi_median,mu_sensitivity_roi_max,mu_sensitivity_contribution_median,mu_sensitivity_contribution_max,sigma_slice_count,sigma_sensitivity_roi_median,sigma_sensitivity_roi_max,sigma_sensitivity_contribution_median,sigma_sensitivity_contribution_max,mu_vs_sigma_roi_ratio,dominant_driver
amazon,3,0.02535688,0.028674580000000005,39912.383565858676,45134.528993705055,3,0.011167640000000006,0.01776564,17578.153590087837,27963.575880508928,2.2705674609854887,mu
beehiiv,3,0.078674436,0.08938713000000001,2581876.8509670664,2933437.7652403354,3,0.033401490000000006,0.04682536000000001,1096144.2903614575,1536678.4837478749,2.355416958944047,mu
google,3,0.051399766,0.074204148,52934274.89985265,76419467.92017208,3,0.026438182999999997,0.053264057000000004,27227478.94950749,54854223.179137066,1.944148960615032,mu
liveintent,3,0.037413,0.03917156999999999,2985509.410640464,3125841.0409366153,3,0.020564715999999997,0.021258824999999995,1641037.9586012485,1696426.9664731175,1.8192811415436034,mu
meta,3,0.06368225,0.079969547,5350315.9852705635,6718706.478633302,3,0.024839576,0.048319126999999996,2086917.1635760837,4059570.721549858,2.563741426182154,mu
moloco,3,0.004706916000000005,0.006172620000000004,396432.7559626335,519879.4195838794,3,0.0026991499999999974,0.006946910000000001,227331.75464710686,585092.8031697143,1.7438512124187282,mu
snapchat,3,0.006391603999999999,0.00848811,2775513.7117248103,3685908.215156708,3,0.004152078,0.005338020999999998,1803013.6756205354,2318001.9411363695,1.5393747419966577,mu
tiktok,3,0.06821794,0.08049065500000001,11956456.07917298,14107476.439355468,3,0.023546110999999998,0.042479390000000006,4126891.577301099,7445299.004998682,2.897206252021831,mu
