channel,left_dollar,right_dollar,max_abs_dollar_change,median_dollar_change,mean_dollar_change,std_dollar_change,n
google,-8864025.111005481,194106613.27423513,194106613.27423513,25846517.623795222,58118682.44351053,109342600.2081339,17
tiktok,-3104348.8406940876,85879869.47325747,85879869.47325747,8931050.232219534,24211190.699926335,46507320.95074892,17
meta,-1141624.8495015774,47795748.890101,47795748.890101,3413048.710553396,12769225.39983438,29629122.408571556,17
snapchat,-5104065.758716835,1267673.9904888398,5104065.758716835,-1309517.2639760822,-1429493.4849995463,2329730.513701051,17
liveintent,-3365758.7361289575,522519.4481425928,3365758.7361289575,-1334726.994574123,-1234554.5852708528,1416724.7652400688,17
beehiiv,-3225277.9862305485,334794.213551489,3225277.9862305485,-1414179.9896583343,-1392746.047318996,1190178.8666282727,17
moloco,-1083644.9996949902,645601.6686379117,1083644.9996949902,-21369.996321731247,-49211.43145578064,877937.6006374973,17
amazon,-20217.56498136938,116241.78683610098,116241.78683610098,-2137.532780458103,18989.069929538433,77377.42681500615,17
