index,channel,max_change,median_change,mean_change,n
2,google,31352603.466295533,25981967.89532767,21296673.905258704,4
3,liveintent,15299903.827904437,11924963.111019481,10020055.132889785,4
7,tiktok,7909035.797166858,3732996.6537192417,4454657.8269398585,4
1,beehiiv,5021496.862941822,2408508.0005977186,2554152.332246314,4
6,snapchat,4464436.371217,1987519.651144091,2148209.813698686,4
4,meta,2464089.4907818544,1580889.4618849135,1617077.7117509707,4
5,moloco,604826.1074019922,363603.3352272094,342061.4374501663,4
0,amazon,265642.4364037044,175311.6970669013,163772.19551146997,4
