run_id,channel,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,estimated_roi,baseline_roi,pct_change,abs_pct_change,delta_value_used,qc_status_code,qc_summary_short
"multi|google,meta,tiktok|0.103795|0.006689|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,"google,meta,tiktok",0.103795,0.006689,Normal,-0.51871943,-0.03544803,1363.3237164378386,1363.3237164378386,-38564437.83159306,PASS,PASS
"multi|google,meta,tiktok|0.103795|0.006689|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,"google,meta,tiktok",0.103795,0.006689,Normal,-0.23395014,0.036620628,-738.8479738796397,738.8479738796397,-425885.3721011796,PASS,PASS
"multi|google,meta,tiktok|0.103795|0.006689|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",google,"google,meta,tiktok",0.103795,0.006689,Normal,0.0934474,0.0122020915,665.8310052829877,665.8310052829877,83670838.00463869,PASS,PASS
"multi|google,meta,tiktok|0.103795|0.006689|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",snapchat,"google,meta,tiktok",0.103795,0.006689,Normal,-0.060064133,-0.008475163,608.707702730909,608.707702730909,-22402184.74247778,PASS,PASS
"multi|google,meta,tiktok|0.103795|0.006689|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",meta,"google,meta,tiktok",0.103795,0.006689,Normal,0.098790005,0.02840901,247.74180796866912,247.74180796866912,5913116.490195425,PASS,PASS
"multi|google,meta,tiktok|0.103795|0.006689|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",tiktok,"google,meta,tiktok",0.103795,0.006689,Normal,0.1003395,0.03192186,214.32848837755694,214.32848837755694,11991457.198805306,PASS,PASS
"multi|google,meta,tiktok|0.103795|0.006689|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",beehiiv,"google,meta,tiktok",0.103795,0.006689,Normal,0.0207889,0.25105745,-91.71946500691375,91.71946500691375,-7556775.351408333,PASS,PASS
"multi|google,meta,tiktok|0.103795|0.006689|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",moloco,"google,meta,tiktok",0.103795,0.006689,Normal,0.021763068,0.046888947,-53.585931456298226,53.585931456298226,-2116188.48901354,PASS,PASS
