channel,n_rows,n_applicable,n_fail,max_prior_neg_prob,fail_rate_pct
amazon,18,18,1,0.26740157934200925,5.555555555555555
beehiiv,18,18,1,0.26740157934200925,5.555555555555555
google,18,18,1,0.26740157934200925,5.555555555555555
liveintent,18,18,1,0.26740157934200925,5.555555555555555
meta,18,18,1,0.26740157934200925,5.555555555555555
moloco,18,18,1,0.26740157934200925,5.555555555555555
snapchat,18,18,1,0.26740157934200925,5.555555555555555
tiktok,18,18,1,0.26740157934200925,5.555555555555555
