run_id,channel,target_channel,targets,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,qc_status_code,qc_summary_short
"multi|google,meta,tiktok|0.020759|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",snapchat,"google,meta,tiktok","google,meta,tiktok",0.020759,0.016722,LogNormal,lognormal,False,0.032407567,0.029342115,,0.0030654519999999,0.1044727689193503,14072781.50713663,1331153.1907537207,0.29141718077995227,48290843.62655653,14072781.50713663,0.29141718077995227,4342436.908989999,0.2259572447812554,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",tiktok,"google,meta,tiktok","google,meta,tiktok",0.020759,0.016722,LogNormal,lognormal,False,0.01272661,0.03648551,,0.0237589,0.6511872795528965,2230573.856404395,-4164186.786341876,0.04619040979391252,48290843.62655653,2230573.856404395,0.04619040979391252,1752685.00913,0.09120037525761927,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",moloco,"google,meta,tiktok","google,meta,tiktok",0.020759,0.016722,LogNormal,lognormal,False,0.07271402,0.07033154,3.3874986954643767,0.00238248,0.0338749869546437,6124226.424631765,200660.711265265,0.12681961971904496,48290843.62655653,6124226.424631765,0.12681961971904496,842234.6095886,0.04382539477961466,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,"google,meta,tiktok","google,meta,tiktok",0.020759,0.016722,LogNormal,lognormal,False,0.11359404,0.09218383,23.225559189719064,0.02141021,0.2322555918971907,9064658.685822284,1708507.2952927724,0.18770967755132292,48290843.62655653,9064658.685822284,0.18770967755132292,797987.173079,0.041522994295304996,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",beehiiv,"google,meta,tiktok","google,meta,tiktok",0.020759,0.016722,LogNormal,lognormal,False,0.20269762,0.163973,23.61646124666865,0.0387246199999999,0.2361646124666865,6651973.874005515,1270834.6576580005,0.1377481396980069,48290843.62655653,6651973.874005515,0.1377481396980069,328172.2732613,0.017076333918912757,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,"google,meta,tiktok","google,meta,tiktok",0.020759,0.016722,LogNormal,lognormal,False,0.15047503,0.13222179,13.805016555894458,0.01825324,0.1380501655589445,236851.5808902393,28731.070865172485,0.004904689235124229,48290843.62655653,236851.5808902393,0.004904689235124229,15740.258094,0.0008190390385875116,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.033445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",meta,"google,meta,tiktok","google,meta,tiktok",0.020759,0.033445,LogNormal,lognormal,False,0.007498505,0.033615954,,0.026117449,0.7769361238416735,629992.9912515851,-2194278.7021373888,0.014614242883516744,43108151.1558938,629992.9912515851,0.014614242883516744,840158.1265220001,0.04371734568128637,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.033445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",google,"google,meta,tiktok","google,meta,tiktok",0.020759,0.033445,LogNormal,lognormal,False,0.0049729096,0.025752464,,0.0207795543999999,0.8068957750994235,5121372.805831768,-21399915.41802044,0.11880288689048932,43108151.1558938,5121372.805831768,0.11880288689048932,10298543.94665,0.5358812722474189,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.033445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",snapchat,"google,meta,tiktok","google,meta,tiktok",0.020759,0.033445,LogNormal,lognormal,False,0.03182555,0.029342115,,0.002483435,0.0846372185508781,13820044.296890669,1078415.9805077594,0.32059004912812583,43108151.1558938,13820044.296890669,0.32059004912812583,4342436.908989999,0.2259572447812554,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.033445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",tiktok,"google,meta,tiktok","google,meta,tiktok",0.020759,0.033445,LogNormal,lognormal,False,0.0077982736,0.03648551,,0.0286872364,0.7862638181568519,1366791.723581424,-5027968.919164847,0.031706108634504834,43108151.1558938,1366791.723581424,0.031706108634504834,1752685.00913,0.09120037525761927,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.033445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",moloco,"google,meta,tiktok","google,meta,tiktok",0.020759,0.033445,LogNormal,lognormal,False,0.07199331,0.07033154,2.362766406081833,0.00166177,0.0236276640608184,6063525.734084105,139960.02071760502,0.14065845023499904,43108151.1558938,6063525.734084105,0.14065845023499904,842234.6095886,0.04382539477961466,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.033445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,"google,meta,tiktok","google,meta,tiktok",0.020759,0.033445,LogNormal,lognormal,False,0.115451,0.09218383,25.2399688752355,0.02326717,0.2523996887523549,9212841.711914362,1856690.321384851,0.21371460999562655,43108151.1558938,9212841.711914362,0.21371460999562655,797987.173079,0.041522994295304996,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.033445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",beehiiv,"google,meta,tiktok","google,meta,tiktok",0.020759,0.033445,LogNormal,lognormal,False,0.20259117,0.163973,23.551542022162174,0.0386181699999999,0.2355154202216216,6648480.480156648,1267341.263809133,0.15422791982225056,43108151.1558938,6648480.480156648,0.15422791982225056,328172.2732613,0.017076333918912757,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.033445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,"google,meta,tiktok","google,meta,tiktok",0.020759,0.033445,LogNormal,lognormal,False,0.15571626,0.13222179,17.76898497592567,0.0234944699999999,0.1776898497592567,245101.41218324084,36980.90215817402,0.005685732410487065,43108151.1558938,245101.41218324084,0.005685732410487065,15740.258094,0.0008190390385875116,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.051898|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",meta,"google,meta,tiktok","google,meta,tiktok",0.051898,0.006689,LogNormal,lognormal,False,0.046651065,0.033615954,,0.0130351109999999,0.3877656127206741,3919427.137065605,1095155.443676631,0.04608733758356928,85043470.56192133,3919427.137065605,0.04608733758356928,840158.1265220001,0.04371734568128637,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:Baseline
"multi|google,meta,tiktok|0.051898|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",google,"google,meta,tiktok","google,meta,tiktok",0.051898,0.006689,LogNormal,lognormal,False,0.041723434,0.025752464,,0.0159709699999999,0.6201725007750714,42969061.865415074,16447773.641562868,0.5052599756512607,85043470.56192133,42969061.865415074,0.5052599756512607,10298543.94665,0.5358812722474189,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:Baseline
"multi|google,meta,tiktok|0.051898|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",snapchat,"google,meta,tiktok","google,meta,tiktok",0.051898,0.006689,LogNormal,lognormal,False,0.027883822,0.029342115,,0.0014582929999999,0.0496996552566165,12108373.781650737,-633254.5347321741,0.14237864120131907,85043470.56192133,12108373.781650737,0.14237864120131907,4342436.908989999,0.2259572447812554,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:Baseline
"multi|google,meta,tiktok|0.051898|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",tiktok,"google,meta,tiktok","google,meta,tiktok",0.051898,0.006689,LogNormal,lognormal,False,0.047837436,0.03648551,,0.0113519259999999,0.3111351876402439,8384395.695241579,1989635.052495308,0.09858952885908842,85043470.56192133,8384395.695241579,0.09858952885908842,1752685.00913,0.09120037525761927,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:Baseline
"multi|google,meta,tiktok|0.051898|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",moloco,"google,meta,tiktok","google,meta,tiktok",0.051898,0.006689,LogNormal,lognormal,False,0.06972882,0.07033154,-0.8569697179956547,0.00060272,0.0085696971799565,5872802.548977376,-50763.16438912414,0.06905647794208149,85043470.56192133,5872802.548977376,0.06905647794208149,842234.6095886,0.04382539477961466,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:Baseline
"multi|google,meta,tiktok|0.051898|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,"google,meta,tiktok","google,meta,tiktok",0.051898,0.006689,LogNormal,lognormal,False,0.083670914,0.09218383,-9.234717194978767,0.0085129159999999,0.0923471719497877,6676831.613179612,-679319.7773498995,0.07851080828501841,85043470.56192133,6676831.613179612,0.07851080828501841,797987.173079,0.041522994295304996,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:Baseline
"multi|google,meta,tiktok|0.051898|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",beehiiv,"google,meta,tiktok","google,meta,tiktok",0.051898,0.006689,LogNormal,lognormal,False,0.14968894,0.163973,-8.7112268483226,0.01428406,0.0871122684832259,4912375.972187434,-468763.2441600803,0.05776311737666756,85043470.56192133,4912375.972187434,0.05776311737666756,328172.2732613,0.017076333918912757,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:Baseline
"multi|google,meta,tiktok|0.051898|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,"google,meta,tiktok","google,meta,tiktok",0.051898,0.006689,LogNormal,lognormal,False,0.12719102,0.13222179,-3.804796471141419,0.00503077,0.0380479647114141,200201.9482039116,-7918.56182115525,0.0023541131009951173,85043470.56192133,200201.9482039116,0.0023541131009951173,15740.258094,0.0008190390385875116,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:Baseline
"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",meta,"google,meta,tiktok","google,meta,tiktok",0.051898,0.016722,LogNormal,lognormal,True,0.033615954,0.033615954,,,,,,,,,,,,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",google,"google,meta,tiktok","google,meta,tiktok",0.051898,0.016722,LogNormal,lognormal,True,0.025752464,0.025752464,,,,,,,,,,,,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",snapchat,"google,meta,tiktok","google,meta,tiktok",0.051898,0.016722,LogNormal,lognormal,True,0.029342115,0.029342115,,,,,,,,,,,,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",tiktok,"google,meta,tiktok","google,meta,tiktok",0.051898,0.016722,LogNormal,lognormal,True,0.03648551,0.03648551,,,,,,,,,,,,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",moloco,"google,meta,tiktok","google,meta,tiktok",0.051898,0.016722,LogNormal,lognormal,True,0.07033154,0.07033154,0.0,,,,,,,,,,,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,"google,meta,tiktok","google,meta,tiktok",0.051898,0.016722,LogNormal,lognormal,True,0.09218383,0.09218383,0.0,,,,,,,,,,,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",beehiiv,"google,meta,tiktok","google,meta,tiktok",0.051898,0.016722,LogNormal,lognormal,True,0.163973,0.163973,0.0,,,,,,,,,,,0.3,0.5,1.2,4,geometric,PASS,PASS
