channel,sigma_sensitivity_roi_median,sigma_sensitivity_roi_max,sigma_sensitivity_contribution_median,sigma_sensitivity_contribution_max
tiktok,1.93035271072605,4.141518219870825,338330025.8423008,725877689.9006361
moloco,1.8837743808872378,4.05131624700812,158657998.0239569,341215875.7618836
snapchat,1.8784130731690676,4.047503097777565,815689025.9258692,1757602684.1040654
beehiiv,1.8533400833792983,4.129465014301241,60821482.828887165,135517592.1096245
google,1.8514482092003648,3.9276131380473576,1906722074.73964,4044869650.762062
meta,1.8288048355421052,3.9316392870464676,153648524.44034296,330319869.7565252
liveintent,1.8128834430019682,4.0700538696255535,144665773.3802865,324785078.170174
amazon,1.812153358447055,4.080464210553717,2852376.1567865545,6422755.981744545
