channel,mu_sensitivity_roi_median,mu_sensitivity_roi_max,mu_sensitivity_contribution_median,mu_sensitivity_contribution_max
beehiiv,4.509324255435107,4.646554043408348,147983519.1778458,152487020.3256803
amazon,4.506979119380316,4.551070174469497,7094101.456331501,7163501.915005549
liveintent,4.496171833836319,4.521641520203702,358788745.1360467,360821193.43839836
moloco,4.435711737633488,4.4741106580710035,373590994.3593312,376825084.3356626
snapchat,4.032684533824988,4.361709221896405,1751167816.199476,1894044711.1444998
tiktok,3.9702636864318626,4.346038515024508,695862164.5502337,761723655.4385062
meta,3.5852331105809814,4.139427007466244,301216273.333036,347777323.94674087
google,3.2912715269314745,4.075660452825638,3389530446.0461636,4197336828.504827
