channel,channel_total_spend,effect_raw,estimated_roi,spend_share,effect_share,spend_share_pct,effect_share_pct,share_gap_pp,effect_negative
google,10298543.94665,4538381030.986601,4.406818142930667,0.535881272247419,0.8651571881834785,53.588127224741896,86.51571881834785,32.92759159360595,False
snapchat,4342436.908989999,339629270.59980524,0.7821167646596829,0.22595724478125545,0.06474394784632194,22.595724478125547,6.474394784632194,-16.12132969349335,False
tiktok,1752685.00913,109976262.50756244,0.6274730595325431,0.09120037525761929,0.020964910920510973,9.120037525761928,2.0964910920510973,-7.023546433710831,False
moloco,842234.6095886,83168346.79489525,0.9874724435216437,0.043825394779614675,0.015854484797037403,4.382539477961467,1.5854484797037403,-2.797090998257727,False
liveintent,797987.173079,73395553.25129911,0.9197585591270278,0.041522994295305,0.013991485078603172,4.1522994295305,1.3991485078603172,-2.7531509216701835,False
meta,840158.1265220001,66346419.92522683,0.789689676631242,0.043717345681286386,0.012647700075564464,4.371734568128638,1.2647700075564463,-3.1069645605721923,False
beehiiv,328172.2732613,33282446.880005497,1.0141760773770512,0.01707633391891276,0.006344674006429091,1.707633391891276,0.6344674006429091,-1.0731659912483669,False
amazon,15740.258094,1550685.487320273,0.9851715760057173,0.0008190390385875117,0.00029560909205441624,0.08190390385875117,0.029560909205441625,-0.05234299465330954,False
