channel,n_rows,n_applicable,n_fail,max_prior_neg_prob,fail_rate_pct
amazon,240,240,0,0.0,0.0
beehiiv,240,240,0,0.0,0.0
google,240,240,0,0.0,0.0
liveintent,240,240,0,0.0,0.0
meta,240,240,0,0.0,0.0
moloco,240,240,0,0.0,0.0
snapchat,240,240,0,0.0,0.0
tiktok,240,240,0,0.0,0.0
