run_id,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,qc_status_code,qc_summary_short,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,total_abs_pct_change,n_channels,total_abs_value_change,struct_profile_id
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=google|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",google,0.5,0.5,LogNormal,True,REVIEW,REVIEW:PriorPosteriorShift,0.51,0.5,1.2,4,geometric,,8,0.0,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",google,1.0,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.51,0.5,1.2,4,geometric,,8,267054037.94094887,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=google|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",google,1.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.51,0.5,1.2,4,geometric,,8,969192212.8550059,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=google|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",google,1.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.51,0.5,1.2,4,geometric,,8,728924629.8482759,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,0.5,0.5,LogNormal,True,REVIEW,REVIEW:PriorPosteriorShift,0.51,0.5,1.2,4,geometric,,8,0.0,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,0.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.51,0.5,1.2,4,geometric,,8,20946908.73664057,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,1.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.51,0.5,1.2,4,geometric,,8,74582058.66068326,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,1.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.51,0.5,1.2,4,geometric,,8,99047370.19366676,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,1.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.51,0.5,1.2,4,geometric,,8,95728568.1967006,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,1.0,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.51,0.5,1.2,4,geometric,,8,54496456.26439411,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
