channel,left_dollar,right_dollar,max_abs_dollar_change,median_dollar_change,mean_dollar_change,std_dollar_change,n
google,-84165553.97930929,664820574.4066412,664820574.4066412,257478.97346639633,100280007.99996151,258087197.39076182,55
tiktok,-19913277.19204923,101270931.63701965,101270931.63701965,-1921867.9882434905,9550306.646563215,39939153.73672942,55
snapchat,-90873503.02380455,9243875.959868366,90873503.02380455,2303803.311517596,-7496696.387081914,35905232.72190675,55
beehiiv,-842575.2058222152,10085456.406046277,10085456.406046277,467553.6578592621,1128371.7753032187,4698258.364418181,55
meta,-8005041.500775961,1870893.9355259195,8005041.500775961,126672.52410917728,-609693.2711332527,4363228.4924821295,55
moloco,-1660433.4730819562,1061112.5335977168,1660433.4730819562,-79537.5440961793,-138162.12103300318,801209.1447494236,55
liveintent,-1349455.4813096772,541672.264013927,1349455.4813096772,-286685.63182418793,-367064.1146569363,670241.2757532328,55
amazon,-28104.963209918584,122500.53903096131,122500.53903096131,14092.224778792472,17724.94959569088,135969.7493410116,55
