channel,spend_reference,immediate_component,carryover_component,immediate_share,carryover_share,struct_profile_id,run_id
google,10298543.94665,5226618.054470999,5071925.892179001,0.5075103899683954,0.49248961003160463,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=tiktok|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric"
snapchat,4342436.908989999,2203831.849094668,2138605.0598953315,0.5075103899683954,0.49248961003160463,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=tiktok|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric"
tiktok,1752685.00913,889505.8524753269,863179.156654673,0.5075103899683954,0.49248961003160463,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=tiktok|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric"
moloco,842234.6095886,427442.8151571896,414791.7944314104,0.5075103899683954,0.49248961003160463,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=tiktok|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric"
meta,840158.1265220001,426388.97842629673,413769.14809570333,0.5075103899683954,0.49248961003160463,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=tiktok|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric"
liveintent,797987.173079,404986.78139910067,393000.3916798993,0.5075103899683954,0.49248961003160463,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=tiktok|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric"
beehiiv,328172.2732613,166550.83837965716,161621.43488164284,0.5075103899683954,0.49248961003160463,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=tiktok|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric"
amazon,15740.258094,7988.344523489132,7751.913570510868,0.5075103899683954,0.49248961003160463,alpha=0.5100|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=tiktok|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric"
