channel,left_dollar,right_dollar,max_abs_dollar_change,median_dollar_change,mean_dollar_change,std_dollar_change,n
google,-19910868.933584575,30103409.048855867,30103409.048855867,-263725.22259038687,2586225.002881578,18902966.785050962,24
meta,-19958475.50542966,17414129.932847846,19958475.50542966,-3139094.8694717214,-2511179.1843689713,16408818.095643533,24
tiktok,-7906277.073021888,14487964.653612541,14487964.653612541,-75211.22326036636,1606369.3421703235,9266872.127196416,24
