check,pass_count,review_count,fail_count,unknown_count,coverage_pct
convergence,26,0,1,0,100.0
baseline,27,0,0,0,100.0
bayesianppp,27,0,0,0,100.0
gof,27,0,0,0,100.0
prior_posterior_shift,27,0,0,0,100.0
roi_consistency,22,5,0,0,100.0
