channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_mu
google,0.5,9,0.2089815743360668,0.2705288990423152,0.1662183752205843,0.632452226827542,-3.861403632022916,36733254.10843015,47551593.11899287,0.4662338516069577
google,1.0,9,0.2173753125499934,0.21981648144126797,0.0957844311949641,0.3586935408723851,0.0,37945481.7904837,38852280.32375977,0.262909109677421
google,1.5,9,0.2170244686615964,0.2010164583179155,0.0710761134921146,0.251082772516335,-0.16140006161754122,38146975.303542905,35333204.21586226,0.1800066590242204
meta,0.5,9,0.5754539523025354,0.6061144431873604,0.4119370890688151,0.8334410057216882,-8.468616329809795,115774241.58240008,121942754.39655574,0.4215039166528731
meta,1.0,9,0.6286957863283654,0.6241359897711556,0.550848734479708,0.7180109724278251,0.0,122616519.78506044,125109779.98826136,0.16716223794811713
meta,1.5,9,0.6287153864155213,0.6225521937906052,0.5285471606720239,0.699620696529746,0.0031175788961959974,126489785.57223454,125249827.18977693,0.17107353585772211
tiktok,0.5,9,0.1204880760827412,0.1672606707728226,0.0968029412844528,0.443440565119187,-1.0632470950725335,14415160.04734208,20011020.32005469,0.3466376238347342
tiktok,1.0,9,0.1217829295434057,0.12397837143270639,0.0512264385974655,0.2125578046093384,0.0,14580909.818626123,14964069.04594937,0.1613313660118729
tiktok,1.5,9,0.1215962472433845,0.10991433934505841,0.0376736966504055,0.1366559006025393,-0.1532910242191693,14547741.338038037,13150121.112970792,0.0989822039521338
