channel,mu_sensitivity_roi_median,mu_sensitivity_roi_max,mu_sensitivity_contribution_median,mu_sensitivity_contribution_max
google,0.262909109677421,0.4662338516069577,46212242.22223265,81951179.66471733
meta,0.17107353585772211,0.4215039166528731,34417886.591097176,84801392.15177749
tiktok,0.1613313660118729,0.3466376238347342,19301639.940872088,41471629.2969658
