channel,mu_slice_count,mu_sensitivity_roi_median,mu_sensitivity_roi_max,mu_sensitivity_contribution_median,mu_sensitivity_contribution_max,sigma_slice_count,sigma_sensitivity_roi_median,sigma_sensitivity_roi_max,sigma_sensitivity_contribution_median,sigma_sensitivity_contribution_max,mu_vs_sigma_roi_ratio,dominant_driver
amazon,3,0.012990421567422583,0.014124041652927799,20447.25882210955,22231.606094749004,5,0.0050844253956650876,0.007583023010132223,8003.016798745666,11935.873931222217,2.5549438838257004,mu
beehiiv,3,0.0260181104019285,0.030979236364364615,853842.243656435,1016652.6421592673,5,0.0164299800526351,0.024867725906272703,402374.0356023265,674686.2543520592,1.5835752885016814,mu
google,3,0.0125572994803881,0.0129592430318796,12932190.055002207,13346133.387912985,5,0.0007526557220930001,0.002466988630282399,775125.8030672354,2540639.0824849196,16.683988591049985,mu
liveintent,3,0.02149911971917999,0.029451435062413406,1200098.6243422274,2350186.7408575034,5,0.006945373134998004,0.013681326100292393,516091.78778654523,898882.2933830954,3.0954592793359215,mu
meta,3,0.0012652074902629006,0.0018051266111433033,88503.0389269155,151659.1791753166,5,0.0006602259476980003,0.001189693346774802,55469.41952991625,99953.05333620054,1.9163250015760211,mu
moloco,3,0.004869635986785095,0.005023458522434007,262075.02469071094,410137.5964168543,5,0.0014039151060084992,0.002793804397806493,115142.51882637758,235303.87562534586,3.468611432375039,mu
snapchat,3,0.002573511629986199,0.0037701800403494995,1029945.706756847,1637176.8960751109,5,0.0012819103570655029,0.0019518304383382007,556661.4848537799,847570.0535529945,2.007559745345515,mu
tiktok,3,0.0023019341565669003,0.002575820720133702,402992.0814453969,451460.23623847775,5,0.0010490401244412015,0.0011679975610848006,183863.69000839628,204713.18160137255,2.194324223578279,mu
