channel,mu_sensitivity_roi_median,mu_sensitivity_roi_max,mu_sensitivity_contribution_median,mu_sensitivity_contribution_max
beehiiv,0.0260181104019285,0.030979236364364615,853842.243656435,1016652.6421592673
liveintent,0.02149911971917999,0.029451435062413406,1200098.6243422274,2350186.7408575034
amazon,0.012990421567422583,0.014124041652927799,20447.25882210955,22231.606094749033
google,0.0125572994803881,0.0129592430318796,12932190.055002207,13346133.387912985
moloco,0.004869635986785095,0.005023458522434007,262075.02469071094,410137.5964168543
snapchat,0.002573511629986199,0.0037701800403494995,1029945.706756847,1637176.8960751109
tiktok,0.0023019341565669003,0.002575820720133702,402992.0814453969,451460.23623847775
meta,0.0012652074902629006,0.0018051266111433033,88503.0389269155,151659.1791753166
