channel,left_dollar,right_dollar,max_abs_dollar_change,median_dollar_change,mean_dollar_change,std_dollar_change,n
google,-9149499.591057826,131219177.17491399,131219177.17491399,24558735.173785247,38781227.71906687,47696460.29785403,17
snapchat,-4130879.8549964987,-39916.342355757224,4130879.8549964987,-825687.4156669863,-1241973.0554436038,1456112.4624448488,17
liveintent,-3374783.1355725178,369945.21001449117,3374783.1355725178,-1206568.2167817391,-1257586.2208606894,1233317.6303471013,17
beehiiv,-2596926.404464158,468487.6693262494,2596926.404464158,-711007.107158185,-830693.0539297656,999134.133188896,17
moloco,-1111215.939874706,102407.64894864778,1111215.939874706,-226835.85708202887,-321828.0164748761,418713.66850668826,17
tiktok,-1015456.2965840029,-9927.071363015231,1015456.2965840029,-465547.62027199846,-460168.62593181425,358704.3668007223,17
meta,-107610.91180163171,1014673.3771112724,1014673.3771112724,148291.37285105814,269585.19512057566,377755.5614114016,17
amazon,-21901.198371195682,6921.3583184745385,21901.198371195682,-9256.228330632846,-9321.329686822843,10266.479031394843,17
