channel,channel_total_spend,effect_raw,estimated_roi,spend_share,effect_share,spend_share_pct,effect_share_pct,share_gap_pp,effect_negative
google,10298543.94665,13771453.86559661,0.0133722339166949,0.535881272247419,0.2627998328915006,53.588127224741896,26.27998328915006,-27.30814393559184,False
snapchat,4342436.908989999,12855416.03368312,0.0296041515469551,0.22595724478125545,0.24531913757068535,22.595724478125547,24.531913757068537,1.9361892789429902,False
liveintent,797987.173079,7573609.079131081,0.0949089074941973,0.041522994295305,0.1445267304241137,4.1522994295305,14.452673042411371,10.30037361288087,False
moloco,842234.6095886,6065851.01282484,0.0720209184444199,0.043825394779614675,0.11575427315611514,4.382539477961467,11.575427315611513,7.192887837650047,False
beehiiv,328172.2732613,5118366.215402567,0.1559658335708081,0.01707633391891276,0.09767347726775572,1.707633391891276,9.767347726775572,8.059714334884296,False
tiktok,1752685.00913,4872408.435096843,0.0277996811162059,0.09120037525761929,0.09297987961324923,9.120037525761928,9.297987961324923,0.17795043556299434,False
meta,840158.1265220001,1925496.3345623952,0.0229182611436893,0.043717345681286386,0.03674413173036996,4.371734568128638,3.6744131730369958,-0.6973213950916428,False
amazon,15740.258094,220224.83250845675,0.1399118306658541,0.0008190390385875117,0.004202537346210241,0.08190390385875117,0.4202537346210241,0.33834983076227293,False
