channel,n_runs,n_baseline_rows,roi_median,roi_mean,roi_min,roi_max,pct_change_abs_max,delta_abs_max,contribution_median,contribution_min,contribution_max,contribution_share_median,spend_share_median,effect_share_median,roi_range,contribution_range
beehiiv,240,8,1.1285983337042853,1.3347423811222583,0.5340436709877879,5.147814228932063,0.0,3.991123595641305,37005042.118952125,17525832.552887212,168936989.7835501,0.03563973760168875,0.017076333918912757,0.03563973760168875,4.613770557944275,151411157.2306629
liveintent,240,8,0.8810677254525945,1.0849826165889458,0.3570660582185762,4.948906829754511,0.0,4.066399647307892,70236440.27682632,28493413.440030325,394916417.0907158,0.06916224770333342,0.041522994295304996,0.06916224770333342,4.591840771535935,366423003.6506855
amazon,240,8,0.9931690043754253,1.2034501094150165,0.4481526746125504,4.964075300296147,0.0,3.974114119814088,1564989.6151970148,705403.8763917944,7813582.642471192,0.001490179507192174,0.0008190390385875116,0.001490179507192174,4.515922625683597,7108178.766079398
moloco,240,8,0.9443777273378025,1.127484801213649,0.4038804935091563,4.810765807032585,0.0,3.865432172408327,79488593.07538834,34016212.97711354,405179346.1308276,0.07834421626232373,0.04382539477961466,0.07834421626232373,4.4068853135234285,371163133.15371406
tiktok,240,8,0.5129855324498689,0.6720734205350741,0.1777856239289394,4.276728975574176,0.0,3.7683593141846368,90018787.87468338,31160219.7899076,749575876.3600761,0.09127197163661444,0.09120037525761927,0.09127197163661444,4.098943351645237,718415656.5701685
snapchat,240,8,0.6096439947172378,0.7566299406422089,0.2468830718309618,4.2522197234630585,0.0,3.646441692328081,265031875.60260314,107207416.33235978,1846499587.2301235,0.25984811783931955,0.2259572447812554,0.25984811783931955,4.0053366516320965,1739292170.8977637
meta,240,8,0.5031459265419592,0.6358837400420797,0.1982503382366364,3.9019556218385696,0.0,3.400399719144528,42280084.257559255,16656163.275524529,327825972.5015878,0.04121008582806246,0.04371734568128637,0.04121008582806246,3.7037052836019333,311169809.22606325
google,240,8,0.33678092382227376,0.4558520458870399,0.1131124878498182,3.478216213385264,0.0,3.1436574061540883,347190665.9366514,116489392.7036267,3582056252.9498696,0.3522568367914345,0.5358812722474189,0.3522568367914345,3.3651037255354455,3465566860.246243
