target_channel,channel,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason
beehiiv,moloco,LogNormal,1.0,1.0,0.9453336346242576,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.0074854151136965275,False,baseline_qc=REVIEW
beehiiv,snapchat,LogNormal,1.0,1.0,0.605778031134978,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.00634331486919487,False,baseline_qc=REVIEW
beehiiv,tiktok,LogNormal,1.0,1.0,0.5083696613895397,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.01037717758311776,False,baseline_qc=REVIEW
google,amazon,LogNormal,1.0,1.0,0.9899611804820596,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.01008125301437922,False,baseline_qc=REVIEW
google,beehiiv,LogNormal,1.0,1.0,1.1566906332907578,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.01781802894716962,False,baseline_qc=REVIEW
google,google,LogNormal,1.0,1.0,0.3345588072311754,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.6108173860763257,False,baseline_qc=REVIEW
google,liveintent,LogNormal,1.0,1.0,0.8825071824466189,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.011174570787364294,False,baseline_qc=REVIEW
google,meta,LogNormal,1.0,1.0,0.5015559026940415,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.011795281043276496,False,baseline_qc=REVIEW
google,moloco,LogNormal,1.0,1.0,0.9453336346242576,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.012160573066628504,False,baseline_qc=REVIEW
google,snapchat,LogNormal,1.0,1.0,0.605778031134978,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.017219852578840428,False,baseline_qc=REVIEW
