channel,left_dollar,right_dollar,max_abs_dollar_change,median_dollar_change,mean_dollar_change,std_dollar_change,n
google,-26937476.13053867,1096248763.5427694,1096248763.5427694,2643808.035744846,129221767.10988903,463265886.42133284,232
snapchat,-29917612.605830435,652025957.7286888,652025957.7286888,1976587.4970210046,67765334.44508472,247742936.18399012,232
tiktok,-9693338.46143068,264533995.31359187,264533995.31359187,917599.4132893384,29681495.64751101,101320648.67163517,232
liveintent,-6084964.256152843,173356055.45867673,173356055.45867673,-186500.89742273837,16714427.51474264,61463660.319893174,232
moloco,-10208387.392152196,162019079.82205534,162019079.82205534,-130677.39348504692,15870415.518468022,57921858.00012311,232
meta,-3916696.269950477,102305149.22647014,102305149.22647014,141457.50221161172,11674823.189594464,41173170.087577015,232
beehiiv,-5310398.5759887565,73652098.9670435,73652098.9670435,-954337.3397559449,6044653.121794271,25903762.79626679,232
amazon,-104389.30412306232,3430315.077455952,3430315.077455952,6765.166814161465,347624.56982238294,1207473.8425615453,232
