channel,sigma_sensitivity_roi_median,sigma_sensitivity_roi_max,sigma_sensitivity_contribution_median,sigma_sensitivity_contribution_max
beehiiv,1.9889553108237061,4.2665878206926084,65271998.57681512,140017582.4185669
liveintent,1.9114029578119516,4.206485756834348,152527504.29191983,335672167.7693319
moloco,1.852023412482813,4.033734370563179,155983821.5761409,339735069.2775397
amazon,1.8234469994033375,4.059584760827322,2870152.63913384,6389891.188989133
tiktok,1.803958083976371,3.854898845370239,316177029.0884263,675642341.7992964
snapchat,1.759626672528684,3.74585277717871,764106780.8831816,1626612935.5263522
meta,1.5595251799801677,3.4767828266198437,131024775.34760228,292104734.59367913
google,1.4735261012132592,3.186147519328321,1517517330.9880586,3281268024.8312593
