channel,mu_sensitivity_roi_median,mu_sensitivity_roi_max,mu_sensitivity_contribution_median,mu_sensitivity_contribution_max
beehiiv,4.47320786580521,4.573359102869581,58719311.76366496,60033986.129158795
amazon,4.421549983053702,4.470814173022906,2783853.516351464,2814870.758947748
liveintent,4.39486814438278,4.476674021910876,140281936.26363862,142893137.9016343
moloco,3.908116144075757,4.272949740861852,131662026.99330199,143953046.27145967
tiktok,3.043236940262917,3.945089659111885,213353430.5771786,276579980.2079673
snapchat,2.993616088819496,3.8624702170165257,519983559.8174425,670901329.2098868
meta,2.490924567668893,3.5602128847145162,83710820.7232128,119645671.48964931
google,2.157928288913293,3.24706036790895,888940772.6837115,1337599755.8534336
