check,pass_count,review_count,fail_count,unknown_count,coverage_pct
convergence,239,0,1,0,100.0
baseline,237,2,1,0,100.0
bayesianppp,240,0,0,0,100.0
gof,240,0,0,0,100.0
prior_posterior_shift,157,83,0,0,100.0
roi_consistency,219,21,0,0,100.0
