channel,mu_slice_count,mu_sensitivity_roi_median,mu_sensitivity_roi_max,mu_sensitivity_contribution_median,mu_sensitivity_contribution_max,sigma_slice_count,sigma_sensitivity_roi_median,sigma_sensitivity_roi_max,sigma_sensitivity_contribution_median,sigma_sensitivity_contribution_max,mu_vs_sigma_roi_ratio,dominant_driver
amazon,3,4.445288033172061,4.473955746140952,6996998.094429788,7042121.814539293,10,1.8234469994033375,4.059584760827322,2870152.63913384,6389891.188989133,2.437848774670519,mu
beehiiv,3,4.463586392550302,4.613770557944275,146482529.33414382,151411157.2306629,10,1.9889553108237061,4.2665878206926084,65271998.57681512,140017582.4185669,2.244186366712157,mu
google,3,2.1643591681054875,3.2361523648855894,2228974800.90692,3332765734.782957,10,1.4735261012132592,3.186147519328321,1517517330.9880586,3281268024.8312593,1.4688298811425302,mu
liveintent,3,4.389505070837525,4.484001118026984,350276874.2693572,357817537.62574285,10,1.9114029578119516,4.206485756834348,152527504.29191983,335672167.7693319,2.2964833516122325,mu
meta,3,2.4851136979014457,3.554003522846227,208788846.86230382,298592494.1407074,10,1.5595251799801677,3.4767828266198437,131024775.34760228,292104734.59367913,1.5935066197091146,mu
moloco,3,3.9361356469267044,4.290079495604149,331514966.98770845,361325342.908422,10,1.852023412482813,4.033734370563179,155983821.5761409,339735069.2775397,2.1253163542084716,mu
snapchat,3,3.0337480988974375,3.862394256765644,1317385971.7230475,1677220337.765013,10,1.759626672528684,3.74585277717871,764106780.8831816,1626612935.5263522,1.7240862202536225,mu
tiktok,3,3.0504823566416355,3.936061433687186,534653469.710135,689867586.9838266,10,1.803958083976371,3.854898845370239,316177029.0884263,675642341.7992964,1.6909940334742235,mu
