index,channel,max_change,median_change,mean_change,n
2,google,1297392762.8262064,372325453.0342766,419993730.0291436,29
6,snapchat,630359767.7977239,211508114.12487352,232372382.12974992,29
7,tiktok,263849366.455753,83625590.65012783,95371789.60016747,29
5,moloco,130352265.67004448,51139161.76732296,56467499.49180939,29
3,liveintent,129547987.48113234,56700243.378239706,59351696.170973174,29
4,meta,114542849.10680708,31872281.10662704,38223532.02070054,29
1,beehiiv,53106979.26873927,25060814.13071168,25123013.671391692,29
0,amazon,2507804.790438133,1192618.8570082122,1179289.3551006566,29
