channel,sigma_sensitivity_roi_median,sigma_sensitivity_roi_max,sigma_sensitivity_contribution_median,sigma_sensitivity_contribution_max
snapchat,1.4471495,1.64916161,,
google,1.35253163,1.5350969799999998,,
meta,1.0704456800000002,1.108306883,,
tiktok,1.014410236,1.070524877,,
amazon,0.97894218,0.97894218,,
