channel,n_rows,n_applicable,n_fail,max_prior_neg_prob,fail_rate_pct
amazon,16,16,0,0.0009563816753886956,0.0
google,400,400,8,0.26740157934200925,2.0
meta,400,400,8,0.26740157934200925,2.0
snapchat,400,400,8,0.26740157934200925,2.0
tiktok,400,400,8,0.26740157934200925,2.0
