channel,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec
meta,meta,0.036328,0.006689,LogNormal,lognormal,False,0.22733736,1.0271761,-77.86773270912359,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.006689,LogNormal,lognormal,False,0.25036845,1.0271761,-75.62555729246425,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.006689,LogNormal,lognormal,False,0.3379933,1.0271761,-67.09490222757324,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.006689,LogNormal,lognormal,False,1.1426027,1.0271761,11.237274699051133,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.011706,LogNormal,lognormal,False,1.0294476,1.0271761,0.22114026991087332,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.011706,LogNormal,lognormal,False,0.03762956,1.0271761,-96.33660090027406,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.011706,LogNormal,lognormal,False,0.06889866,1.0271761,-93.292419868414,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.011706,LogNormal,lognormal,False,0.14035434,1.0271761,-86.3359028700142,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.011706,LogNormal,lognormal,False,0.24363296,1.0271761,-76.28128613973786,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.011706,LogNormal,lognormal,False,0.23868632,1.0271761,-76.76286276520646,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.011706,LogNormal,lognormal,False,0.37465382,1.0271761,-63.52584332910393,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.011706,LogNormal,lognormal,False,0.9679197,1.0271761,-5.7688647545440235,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.016722,LogNormal,lognormal,False,1.0050073,1.0271761,-2.1582277858684593,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.016722,LogNormal,lognormal,False,0.040975902,1.0271761,-96.01082015050778,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.016722,LogNormal,lognormal,False,0.07652609,1.0271761,-92.54985683564873,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.016722,LogNormal,lognormal,False,0.14405364,1.0271761,-85.97576014473077,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.016722,LogNormal,lognormal,False,0.24548498,1.0271761,-76.10098404742868,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.016722,LogNormal,lognormal,False,0.22562258,1.0271761,-78.03467389866256,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.016722,LogNormal,lognormal,False,0.36325806,1.0271761,-64.63526945379668,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.016722,LogNormal,lognormal,False,0.93986624,1.0271761,-8.499989437059524,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.023411,LogNormal,lognormal,False,0.9884404,1.0271761,-3.771086574152176,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.023411,LogNormal,lognormal,False,0.03741646,1.0271761,-96.35734709948956,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.023411,LogNormal,lognormal,False,0.06696585,1.0271761,-93.48058721381855,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.023411,LogNormal,lognormal,False,0.14328867,1.0271761,-86.05023325601131,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.023411,LogNormal,lognormal,False,0.22650962,1.0271761,-77.94831674919229,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.023411,LogNormal,lognormal,False,0.22748402,1.0271761,-77.85345472894083,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.023411,LogNormal,lognormal,False,0.33765638,1.0271761,-67.12770283498614,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.023411,LogNormal,lognormal,False,1.0359895,1.0271761,0.858022300168391,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.033445,LogNormal,lognormal,False,0.9378389,1.0271761,-8.697359683505088,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.033445,LogNormal,lognormal,False,0.036843438,1.0271761,-96.4131332494983,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.033445,LogNormal,lognormal,False,0.07822954,1.0271761,-92.38401867021632,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.033445,LogNormal,lognormal,False,0.13664809,1.0271761,-86.69672220761366,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.033445,LogNormal,lognormal,False,0.22306398,1.0271761,-78.28376458525466,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.033445,LogNormal,lognormal,False,0.24022806,1.0271761,-76.6127677620225,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.033445,LogNormal,lognormal,False,0.3692481,1.0271761,-64.05211336206128,,,,,,,,,,,,,,,geometric
meta,meta,0.036328,0.033445,LogNormal,lognormal,False,0.91211396,1.0271761,-11.201792954489491,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.006689,LogNormal,lognormal,False,1.0503736,1.0271761,2.2583761440711076,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.006689,LogNormal,lognormal,False,0.03892967,1.0271761,-96.2100296142015,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.006689,LogNormal,lognormal,False,0.06686357,1.0271761,-93.49054461060767,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.006689,LogNormal,lognormal,False,0.14939362,1.0271761,-85.45589018280312,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.006689,LogNormal,lognormal,False,0.21972616,1.0271761,-78.6087156817609,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.006689,LogNormal,lognormal,False,0.24603157,1.0271761,-76.04777116601525,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.006689,LogNormal,lognormal,False,0.3522202,1.0271761,-65.7098524780707,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.006689,LogNormal,lognormal,False,0.8957804,1.0271761,-12.791935092726543,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.011706,LogNormal,lognormal,False,1.0413443,1.0271761,1.3793350526750063,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.011706,LogNormal,lognormal,False,0.036757443,1.0271761,-96.42150523167352,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.011706,LogNormal,lognormal,False,0.07311356,1.0271761,-92.88208127116664,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.011706,LogNormal,lognormal,False,0.13051698,1.0271761,-87.29361206905028,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.011706,LogNormal,lognormal,False,0.21076784,1.0271761,-79.48084656564731,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.011706,LogNormal,lognormal,False,0.25043562,1.0271761,-75.61901800479977,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.011706,LogNormal,lognormal,False,0.38240308,1.0271761,-62.77141962317854,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.011706,LogNormal,lognormal,False,1.1405089,1.0271761,11.033434286487003,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.016722,LogNormal,lognormal,False,1.0271761,1.0271761,0.0,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.016722,LogNormal,lognormal,False,0.040121667,1.0271761,-96.09398359249208,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.016722,LogNormal,lognormal,False,0.06516274,1.0271761,-93.65612770780005,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.016722,LogNormal,lognormal,False,0.13874148,1.0271761,-86.49292171030848,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.016722,LogNormal,lognormal,False,0.25264055,1.0271761,-75.40435860997934,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.016722,LogNormal,lognormal,False,0.20751862,1.0271761,-79.79717207205269,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.016722,LogNormal,lognormal,False,0.3746583,1.0271761,-63.52540718188439,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.016722,LogNormal,lognormal,False,1.058511,1.0271761,3.050586944147168,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.023411,LogNormal,lognormal,False,0.9993969,1.0271761,-2.7044242949188453,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.023411,LogNormal,lognormal,False,0.033888772,1.0271761,-96.70078266034422,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.023411,LogNormal,lognormal,False,0.07248986,1.0271761,-92.94280114188794,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.023411,LogNormal,lognormal,False,0.13213149,1.0271761,-87.13643259417738,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.023411,LogNormal,lognormal,False,0.23548338,1.0271761,-77.07468271506707,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.023411,LogNormal,lognormal,False,0.24198437,1.0271761,-76.44178344881662,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.023411,LogNormal,lognormal,False,0.39226508,1.0271761,-61.81131161443495,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.023411,LogNormal,lognormal,False,0.999866,1.0271761,-2.6587553974435245,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.033445,LogNormal,lognormal,False,0.95438385,1.0271761,-7.086637821888564,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.033445,LogNormal,lognormal,False,0.032202017,1.0271761,-96.86499549590377,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.033445,LogNormal,lognormal,False,0.07919504,1.0271761,-92.29002310314658,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.033445,LogNormal,lognormal,False,0.12481233,1.0271761,-87.84898421994048,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.033445,LogNormal,lognormal,False,0.23256302,1.0271761,-77.35899228963758,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.033445,LogNormal,lognormal,False,0.24690112,1.0271761,-75.96311674307843,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.033445,LogNormal,lognormal,False,0.39489475,1.0271761,-61.555301958447046,,,,,,,,,,,,,,,geometric
meta,meta,0.051898,0.033445,LogNormal,lognormal,False,0.9259804,1.0271761,-9.851835532388254,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.006689,LogNormal,lognormal,False,1.069231,1.0271761,4.094224933777189,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.006689,LogNormal,lognormal,False,0.035017963,1.0271761,-96.59085107217739,,,,,,,,,,,,,,,geometric
