channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason,pct_change_raw,baseline_roi_for_rank,pct_source_row,abs_pct_change_raw,abs_delta_roi,pct_change,abs_pct_change,prior_neg_prob,prior_guardrail_pass
meta,0.15082678,meta,0.020759,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-85.31636590843576,1.0271761,fallback_baseline,85.31636590843576,0.8763493199999999,-85.31636590843576,85.31636590843576,0.0,1.0
meta,0.22693484,meta,0.020759,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-77.90691975796555,1.0271761,fallback_baseline,77.90691975796555,0.80024126,-77.90691975796555,77.90691975796555,0.0,1.0
meta,0.2608531,meta,0.020759,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-74.60483163500396,1.0271761,fallback_baseline,74.60483163500396,0.7663229999999999,-74.60483163500396,74.60483163500396,0.0,1.0
meta,0.34896466,meta,0.020759,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-66.02679326358937,1.0271761,fallback_baseline,66.02679326358937,0.6782114399999999,-66.02679326358937,66.02679326358937,0.0,1.0
meta,0.9015254,meta,0.020759,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-12.232634696231727,1.0271761,fallback_baseline,12.232634696231727,0.1256506999999999,-12.232634696231727,12.232634696231727,0.0,1.0
meta,0.9764681,meta,0.020759,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-4.936641341246158,1.0271761,fallback_baseline,4.936641341246158,0.050707999999999975,-4.936641341246158,4.936641341246158,0.0,1.0
meta,0.036607236,meta,0.020759,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-96.43612852752317,1.0271761,fallback_baseline,96.43612852752317,0.9905688639999999,-96.43612852752317,96.43612852752317,0.0,1.0
meta,0.07261711,meta,0.020759,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-92.93041280847558,1.0271761,fallback_baseline,92.93041280847558,0.9545589899999999,-92.93041280847558,92.93041280847558,0.0,1.0
meta,0.13212553,meta,0.020759,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-87.13701282574624,1.0271761,fallback_baseline,87.13701282574624,0.89505057,-87.13701282574624,87.13701282574624,0.0,1.0
meta,0.23486681,meta,0.020759,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-77.1347084497001,1.0271761,fallback_baseline,77.1347084497001,0.7923092899999999,-77.1347084497001,77.1347084497001,0.0,1.0
