channel,in_target_set,n_runs_used,channel_total_spend,sensitivity_mu_elasticity_median,sensitivity_sigma_elasticity_median,sensitivity_joint_elasticity_median,sensitivity_dist_shift_median,prior_sensitivity_raw,data_diffuse_shift_median,data_prior_shift_flag_rate,data_influence_raw,cross_channel_coupling_raw,adstock_proxy_sign_flip_rate,adstock_proxy_raw,prior_sensitivity_fragility_rank,data_influence_fragility_rank,cross_channel_fragility_rank,adstock_proxy_fragility_rank,prior_sensitivity_subscore,data_influence_subscore,cross_channel_subscore,adstock_proxy_subscore,overall_channel_robustness_score,robustness_band,targets
beehiiv,True,231,328172.2732613,0.0231749692762956,0.027219566521341297,0.018451585690028353,,0.022948707162555083,0.010174334793215492,0.04329004329004329,0.3973314659722213,0.08881586806869238,0.0,0.3462927372132348,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.0,14.28571428571429,14.28571428571429,28.57142857142857,0.0,15.714285714285715,Low,"amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok"
amazon,True,231,15740.258094,0.013651311608870207,0.041898477196823825,0.012936949346060258,,0.022828912717251428,0.012140966426413938,0.7445887445887446,0.5479058402671828,0.07962309078110143,0.0,0.3325149011250771,0.7142857142857143,1.0,0.2857142857142857,0.8571428571428571,28.57142857142857,0.0,71.42857142857143,14.28571428571429,25.714285714285715,Low,"amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok"
google,True,231,10298543.94665,0.01595651815137228,0.04403998007736668,0.015019026019828366,,0.025005174749522446,0.01655162950601941,0.0,0.21151565590005506,0.09598392079278886,0.0,0.18712420663212556,1.0,0.0,1.0,0.0,0.0,100.0,0.0,100.0,35.0,Low,"amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok"
snapchat,True,231,4342436.908989999,0.015877042916220604,0.02910640543672884,0.012673057128532693,,0.019218835160494045,0.013506233431810769,0.0,0.279000600233389,0.09529314027574469,0.0,0.22132657730577351,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.2857142857142857,71.42857142857143,57.14285714285714,14.28571428571429,71.42857142857143,58.57142857142858,Medium,"amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok"
tiktok,True,231,1752685.00913,0.01739505292050641,0.029318028492451357,0.015370388636764385,,0.02069449001657405,0.016150694747691135,0.0,0.2570369051088527,0.07575672652552715,0.0,0.22932363186193272,0.5714285714285714,0.2857142857142857,0.0,0.42857142857142855,42.85714285714286,71.42857142857143,100.0,57.14285714285714,60.714285714285715,Medium,"amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok"
liveintent,True,231,797987.173079,0.010364451019168655,0.012788424823613396,0.009722342854023874,,0.01095840623226864,0.004832982676717394,0.0,0.370457655223975,0.08614453799592543,0.0,0.293345698214441,0.0,0.7142857142857143,0.5714285714285714,0.7142857142857143,100.0,28.57142857142857,42.85714285714286,28.57142857142857,66.42857142857143,High,"amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok"
moloco,True,231,842234.6095886,0.022369544657151907,0.014452768943298631,0.01594374754783289,,0.01758868704942781,0.005516907484834856,0.004329004329004329,0.36540389587422756,0.08433473121779987,0.0,0.25526659565041165,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.5714285714285714,85.71428571428572,42.85714285714286,57.14285714285714,42.85714285714286,66.42857142857143,High,"amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok"
meta,True,231,840158.1265220001,0.026929028039666743,0.014168149798062664,0.016980572505103913,,0.019359250114277773,0.004428775195526806,0.0,0.25055738436292974,0.07744211338079199,0.0,0.2017590275010633,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,57.14285714285714,85.71428571428572,85.71428571428572,85.71428571428572,71.42857142857143,High,"amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok"
