channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
amazon,0.31133884,tiktok,0.036328,0.011706,Normal
meta,0.092457436,tiktok,0.036328,0.011706,LogNormal
google,0.029749889,tiktok,0.036328,0.011706,LogNormal
snapchat,0.06597791,tiktok,0.036328,0.011706,LogNormal
tiktok,1.012017,tiktok,0.036328,0.011706,LogNormal
moloco,0.27308393,tiktok,0.036328,0.011706,LogNormal
liveintent,0.20374265,tiktok,0.036328,0.011706,LogNormal
beehiiv,0.28976303,tiktok,0.036328,0.011706,LogNormal
amazon,0.7948674,tiktok,0.036328,0.011706,LogNormal
meta,-0.056111366,tiktok,0.036328,0.016722,Normal
google,-0.04905017,tiktok,0.036328,0.016722,Normal
snapchat,0.03710334,tiktok,0.036328,0.016722,Normal
tiktok,0.027481452,tiktok,0.036328,0.016722,Normal
moloco,0.12778097,tiktok,0.036328,0.016722,Normal
liveintent,0.48394912,tiktok,0.036328,0.016722,Normal
beehiiv,0.2294651,tiktok,0.036328,0.016722,Normal
amazon,0.28288692,tiktok,0.036328,0.016722,Normal
meta,0.11223434,tiktok,0.036328,0.016722,LogNormal
google,0.027045691,tiktok,0.036328,0.016722,LogNormal
snapchat,0.059507877,tiktok,0.036328,0.016722,LogNormal
tiktok,0.9842207,tiktok,0.036328,0.016722,LogNormal
moloco,0.23515558,tiktok,0.036328,0.016722,LogNormal
liveintent,0.19156867,tiktok,0.036328,0.016722,LogNormal
beehiiv,0.29549325,tiktok,0.036328,0.016722,LogNormal
amazon,0.83737266,tiktok,0.036328,0.016722,LogNormal
meta,-0.04584387,tiktok,0.036328,0.023411,Normal
google,-0.017805291,tiktok,0.036328,0.023411,Normal
snapchat,-0.00884289,tiktok,0.036328,0.023411,Normal
tiktok,0.030749545,tiktok,0.036328,0.023411,Normal
moloco,0.1341989,tiktok,0.036328,0.023411,Normal
liveintent,0.32079202,tiktok,0.036328,0.023411,Normal
beehiiv,0.12736253,tiktok,0.036328,0.023411,Normal
amazon,0.33359444,tiktok,0.036328,0.023411,Normal
meta,0.09587056,tiktok,0.036328,0.023411,LogNormal
google,0.028253078,tiktok,0.036328,0.023411,LogNormal
snapchat,0.06134709,tiktok,0.036328,0.023411,LogNormal
tiktok,0.94474137,tiktok,0.036328,0.023411,LogNormal
moloco,0.20129065,tiktok,0.036328,0.023411,LogNormal
liveintent,0.21199441,tiktok,0.036328,0.023411,LogNormal
beehiiv,0.30768698,tiktok,0.036328,0.023411,LogNormal
amazon,0.8153883,tiktok,0.036328,0.023411,LogNormal
meta,-0.050301038,tiktok,0.036328,0.033445,Normal
google,-0.047024004,tiktok,0.036328,0.033445,Normal
snapchat,0.041332334,tiktok,0.036328,0.033445,Normal
tiktok,0.008304158,tiktok,0.036328,0.033445,Normal
moloco,0.099010974,tiktok,0.036328,0.033445,Normal
liveintent,0.4449409,tiktok,0.036328,0.033445,Normal
beehiiv,0.3071247,tiktok,0.036328,0.033445,Normal
amazon,0.26996362,tiktok,0.036328,0.033445,Normal
meta,0.099055454,tiktok,0.036328,0.033445,LogNormal
