channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
meta,0.37436834,snapchat,0.036328,0.011706,LogNormal
google,0.071486324,snapchat,0.036328,0.011706,LogNormal
snapchat,1.0255406,snapchat,0.036328,0.011706,LogNormal
tiktok,0.2120417,snapchat,0.036328,0.011706,LogNormal
moloco,0.40639526,snapchat,0.036328,0.011706,LogNormal
liveintent,0.4436478,snapchat,0.036328,0.011706,LogNormal
beehiiv,0.60368073,snapchat,0.036328,0.011706,LogNormal
amazon,1.4437779,snapchat,0.036328,0.011706,LogNormal
meta,-0.05364726,snapchat,0.036328,0.016722,Normal
google,-0.023130028,snapchat,0.036328,0.016722,Normal
snapchat,0.024078015,snapchat,0.036328,0.016722,Normal
tiktok,-0.08060931,snapchat,0.036328,0.016722,Normal
moloco,0.12070962,snapchat,0.036328,0.016722,Normal
liveintent,0.40802327,snapchat,0.036328,0.016722,Normal
beehiiv,0.2944562,snapchat,0.036328,0.016722,Normal
amazon,0.373317,snapchat,0.036328,0.016722,Normal
meta,0.38465935,snapchat,0.036328,0.016722,LogNormal
google,0.070155755,snapchat,0.036328,0.016722,LogNormal
snapchat,1.0104316,snapchat,0.036328,0.016722,LogNormal
tiktok,0.25466722,snapchat,0.036328,0.016722,LogNormal
moloco,0.3950158,snapchat,0.036328,0.016722,LogNormal
liveintent,0.39021435,snapchat,0.036328,0.016722,LogNormal
beehiiv,0.5235175,snapchat,0.036328,0.016722,LogNormal
amazon,1.4035203,snapchat,0.036328,0.016722,LogNormal
meta,-0.06706713,snapchat,0.036328,0.023411,Normal
google,-0.028239291,snapchat,0.036328,0.023411,Normal
snapchat,0.018708892,snapchat,0.036328,0.023411,Normal
tiktok,-0.06078414,snapchat,0.036328,0.023411,Normal
moloco,0.07693675,snapchat,0.036328,0.023411,Normal
liveintent,0.43987903,snapchat,0.036328,0.023411,Normal
beehiiv,0.39238816,snapchat,0.036328,0.023411,Normal
amazon,0.4051612,snapchat,0.036328,0.023411,Normal
meta,0.34859622,snapchat,0.036328,0.023411,LogNormal
google,0.0671718,snapchat,0.036328,0.023411,LogNormal
snapchat,0.98832214,snapchat,0.036328,0.023411,LogNormal
tiktok,0.2463396,snapchat,0.036328,0.023411,LogNormal
moloco,0.39034018,snapchat,0.036328,0.023411,LogNormal
liveintent,0.38660038,snapchat,0.036328,0.023411,LogNormal
beehiiv,0.6029487,snapchat,0.036328,0.023411,LogNormal
amazon,1.5143213,snapchat,0.036328,0.023411,LogNormal
meta,-0.0698184,snapchat,0.036328,0.033445,Normal
google,-0.03491162,snapchat,0.036328,0.033445,Normal
snapchat,0.01258913,snapchat,0.036328,0.033445,Normal
tiktok,-0.056330703,snapchat,0.036328,0.033445,Normal
moloco,0.09835815,snapchat,0.036328,0.033445,Normal
liveintent,0.50845826,snapchat,0.036328,0.033445,Normal
beehiiv,0.29291198,snapchat,0.036328,0.033445,Normal
amazon,0.4769392,snapchat,0.036328,0.033445,Normal
meta,0.3481136,snapchat,0.036328,0.033445,LogNormal
google,0.067242846,snapchat,0.036328,0.033445,LogNormal
snapchat,0.9494321,snapchat,0.036328,0.033445,LogNormal
tiktok,0.244386,snapchat,0.036328,0.033445,LogNormal
moloco,0.404814,snapchat,0.036328,0.033445,LogNormal
liveintent,0.38279194,snapchat,0.036328,0.033445,LogNormal
beehiiv,0.5323268,snapchat,0.036328,0.033445,LogNormal
amazon,1.4490168,snapchat,0.036328,0.033445,LogNormal
meta,-0.054498572,snapchat,0.051898,0.006689,Normal
google,-0.027715486,snapchat,0.051898,0.006689,Normal
snapchat,0.051388104,snapchat,0.051898,0.006689,Normal
tiktok,-0.067873225,snapchat,0.051898,0.006689,Normal
moloco,0.095247604,snapchat,0.051898,0.006689,Normal
