channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
amazon,0.31502014,liveintent,0.036328,0.011706,Normal
meta,0.084407315,liveintent,0.036328,0.011706,LogNormal
google,0.039903045,liveintent,0.036328,0.011706,LogNormal
snapchat,0.073523,liveintent,0.036328,0.011706,LogNormal
tiktok,0.11250279,liveintent,0.036328,0.011706,LogNormal
moloco,0.2425781,liveintent,0.036328,0.011706,LogNormal
liveintent,1.0317968,liveintent,0.036328,0.011706,LogNormal
beehiiv,0.33864927,liveintent,0.036328,0.011706,LogNormal
amazon,0.7106632,liveintent,0.036328,0.011706,LogNormal
meta,-0.017640214,liveintent,0.036328,0.016722,Normal
google,0.004528676,liveintent,0.036328,0.016722,Normal
snapchat,-0.0017219326,liveintent,0.036328,0.016722,Normal
tiktok,-0.035161816,liveintent,0.036328,0.016722,Normal
moloco,0.08148419,liveintent,0.036328,0.016722,Normal
liveintent,0.03650974,liveintent,0.036328,0.016722,Normal
beehiiv,0.34786937,liveintent,0.036328,0.016722,Normal
amazon,0.32377276,liveintent,0.036328,0.016722,Normal
meta,0.088975474,liveintent,0.036328,0.016722,LogNormal
google,0.034218464,liveintent,0.036328,0.016722,LogNormal
snapchat,0.06443153,liveintent,0.036328,0.016722,LogNormal
tiktok,0.11480962,liveintent,0.036328,0.016722,LogNormal
moloco,0.23763749,liveintent,0.036328,0.016722,LogNormal
liveintent,1.0329056,liveintent,0.036328,0.016722,LogNormal
beehiiv,0.33933592,liveintent,0.036328,0.016722,LogNormal
amazon,0.8470534,liveintent,0.036328,0.016722,LogNormal
meta,-0.022392593,liveintent,0.036328,0.023411,Normal
google,0.030545836,liveintent,0.036328,0.023411,Normal
snapchat,-0.04217324,liveintent,0.036328,0.023411,Normal
tiktok,-0.047043543,liveintent,0.036328,0.023411,Normal
moloco,0.07665439,liveintent,0.036328,0.023411,Normal
liveintent,0.043313924,liveintent,0.036328,0.023411,Normal
beehiiv,0.23478074,liveintent,0.036328,0.023411,Normal
amazon,0.2149162,liveintent,0.036328,0.023411,Normal
meta,0.08449496,liveintent,0.036328,0.023411,LogNormal
google,0.03518701,liveintent,0.036328,0.023411,LogNormal
snapchat,0.064697295,liveintent,0.036328,0.023411,LogNormal
tiktok,0.1186313,liveintent,0.036328,0.023411,LogNormal
moloco,0.24052128,liveintent,0.036328,0.023411,LogNormal
liveintent,1.0251597,liveintent,0.036328,0.023411,LogNormal
beehiiv,0.33993012,liveintent,0.036328,0.023411,LogNormal
amazon,0.76432383,liveintent,0.036328,0.023411,LogNormal
meta,-0.042010404,liveintent,0.036328,0.033445,Normal
google,-0.009038812,liveintent,0.036328,0.033445,Normal
snapchat,0.03188167,liveintent,0.036328,0.033445,Normal
tiktok,0.01716866,liveintent,0.036328,0.033445,Normal
moloco,0.13086534,liveintent,0.036328,0.033445,Normal
liveintent,0.05279057,liveintent,0.036328,0.033445,Normal
beehiiv,0.33203813,liveintent,0.036328,0.033445,Normal
amazon,0.26989472,liveintent,0.036328,0.033445,Normal
meta,0.08122509,liveintent,0.036328,0.033445,LogNormal
google,0.03899121,liveintent,0.036328,0.033445,LogNormal
snapchat,0.06964893,liveintent,0.036328,0.033445,LogNormal
tiktok,0.118317686,liveintent,0.036328,0.033445,LogNormal
moloco,0.22680037,liveintent,0.036328,0.033445,LogNormal
liveintent,1.0009557,liveintent,0.036328,0.033445,LogNormal
beehiiv,0.36096054,liveintent,0.036328,0.033445,LogNormal
amazon,0.81077975,liveintent,0.036328,0.033445,LogNormal
meta,-0.060405783,liveintent,0.051898,0.006689,Normal
google,-0.012699726,liveintent,0.051898,0.006689,Normal
snapchat,0.0025203184,liveintent,0.051898,0.006689,Normal
