channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
moloco,0.09600082,beehiiv,0.036328,0.011706,Normal
liveintent,0.44089094,beehiiv,0.036328,0.011706,Normal
beehiiv,0.037741415,beehiiv,0.036328,0.011706,Normal
amazon,0.4038991,beehiiv,0.036328,0.011706,Normal
meta,0.08773798,beehiiv,0.036328,0.011706,LogNormal
google,0.04231357,beehiiv,0.036328,0.011706,LogNormal
snapchat,0.08209789,beehiiv,0.036328,0.011706,LogNormal
tiktok,0.12720078,beehiiv,0.036328,0.011706,LogNormal
moloco,0.25680852,beehiiv,0.036328,0.011706,LogNormal
liveintent,0.25448766,beehiiv,0.036328,0.011706,LogNormal
beehiiv,1.034251,beehiiv,0.036328,0.011706,LogNormal
amazon,0.77741134,beehiiv,0.036328,0.011706,LogNormal
meta,-0.06151541,beehiiv,0.036328,0.016722,Normal
google,-0.023226034,beehiiv,0.036328,0.016722,Normal
snapchat,-0.0008552623,beehiiv,0.036328,0.016722,Normal
tiktok,-0.03248056,beehiiv,0.036328,0.016722,Normal
moloco,0.1132017,beehiiv,0.036328,0.016722,Normal
liveintent,0.4823895,beehiiv,0.036328,0.016722,Normal
beehiiv,0.037064604,beehiiv,0.036328,0.016722,Normal
amazon,0.37448034,beehiiv,0.036328,0.016722,Normal
meta,0.09218209,beehiiv,0.036328,0.016722,LogNormal
google,0.042745247,beehiiv,0.036328,0.016722,LogNormal
snapchat,0.08033332,beehiiv,0.036328,0.016722,LogNormal
tiktok,0.11234905,beehiiv,0.036328,0.016722,LogNormal
moloco,0.25198504,beehiiv,0.036328,0.016722,LogNormal
liveintent,0.24700634,beehiiv,0.036328,0.016722,LogNormal
beehiiv,1.0315363,beehiiv,0.036328,0.016722,LogNormal
amazon,0.7769376,beehiiv,0.036328,0.016722,LogNormal
meta,-0.031923495,beehiiv,0.036328,0.023411,Normal
google,-0.0006649104,beehiiv,0.036328,0.023411,Normal
snapchat,-0.019406755,beehiiv,0.036328,0.023411,Normal
tiktok,-0.024562294,beehiiv,0.036328,0.023411,Normal
moloco,0.14969647,beehiiv,0.036328,0.023411,Normal
liveintent,0.4561073,beehiiv,0.036328,0.023411,Normal
beehiiv,0.03860424,beehiiv,0.036328,0.023411,Normal
amazon,0.36944455,beehiiv,0.036328,0.023411,Normal
meta,0.09088974,beehiiv,0.036328,0.023411,LogNormal
google,0.044156283,beehiiv,0.036328,0.023411,LogNormal
snapchat,0.08161012,beehiiv,0.036328,0.023411,LogNormal
tiktok,0.11340596,beehiiv,0.036328,0.023411,LogNormal
moloco,0.2577676,beehiiv,0.036328,0.023411,LogNormal
liveintent,0.22800569,beehiiv,0.036328,0.023411,LogNormal
beehiiv,1.0276434,beehiiv,0.036328,0.023411,LogNormal
amazon,0.761706,beehiiv,0.036328,0.023411,LogNormal
meta,-0.07144796,beehiiv,0.036328,0.033445,Normal
google,-0.016546931,beehiiv,0.036328,0.033445,Normal
snapchat,0.004337413,beehiiv,0.036328,0.033445,Normal
tiktok,-0.045389794,beehiiv,0.036328,0.033445,Normal
moloco,0.10794902,beehiiv,0.036328,0.033445,Normal
liveintent,0.46638903,beehiiv,0.036328,0.033445,Normal
beehiiv,0.042213194,beehiiv,0.036328,0.033445,Normal
amazon,0.41585746,beehiiv,0.036328,0.033445,Normal
meta,0.08969289,beehiiv,0.036328,0.033445,LogNormal
google,0.045633696,beehiiv,0.036328,0.033445,LogNormal
snapchat,0.08397506,beehiiv,0.036328,0.033445,LogNormal
tiktok,0.112532854,beehiiv,0.036328,0.033445,LogNormal
moloco,0.25207686,beehiiv,0.036328,0.033445,LogNormal
liveintent,0.21482627,beehiiv,0.036328,0.033445,LogNormal
beehiiv,1.0119863,beehiiv,0.036328,0.033445,LogNormal
amazon,0.7315687,beehiiv,0.036328,0.033445,LogNormal
meta,-0.06356378,beehiiv,0.051898,0.006689,Normal
google,-0.022633452,beehiiv,0.051898,0.006689,Normal
snapchat,0.008481815,beehiiv,0.051898,0.006689,Normal
tiktok,-0.04061248,beehiiv,0.051898,0.006689,Normal
moloco,0.13501745,beehiiv,0.051898,0.006689,Normal
liveintent,0.5101225,beehiiv,0.051898,0.006689,Normal
beehiiv,0.05094164,beehiiv,0.051898,0.006689,Normal
amazon,0.33406654,beehiiv,0.051898,0.006689,Normal
meta,0.09094338,beehiiv,0.051898,0.006689,LogNormal
google,0.04470772,beehiiv,0.051898,0.006689,LogNormal
snapchat,0.077358626,beehiiv,0.051898,0.006689,LogNormal
tiktok,0.1221475,beehiiv,0.051898,0.006689,LogNormal
moloco,0.24231549,beehiiv,0.051898,0.006689,LogNormal
liveintent,0.2809535,beehiiv,0.051898,0.006689,LogNormal
beehiiv,1.0510584,beehiiv,0.051898,0.006689,LogNormal
amazon,0.6981201,beehiiv,0.051898,0.006689,LogNormal
meta,-0.069768324,beehiiv,0.051898,0.011706,Normal
google,-0.037399717,beehiiv,0.051898,0.011706,Normal
snapchat,-0.0038779483,beehiiv,0.051898,0.011706,Normal
tiktok,0.0010249362,beehiiv,0.051898,0.011706,Normal
moloco,0.16755137,beehiiv,0.051898,0.011706,Normal
liveintent,0.66384375,beehiiv,0.051898,0.011706,Normal
beehiiv,0.053503722,beehiiv,0.051898,0.011706,Normal
amazon,0.29329884,beehiiv,0.051898,0.011706,Normal
meta,0.088818714,beehiiv,0.051898,0.011706,LogNormal
google,0.03881506,beehiiv,0.051898,0.011706,LogNormal
snapchat,0.07566685,beehiiv,0.051898,0.011706,LogNormal
tiktok,0.12987402,beehiiv,0.051898,0.011706,LogNormal
moloco,0.22565928,beehiiv,0.051898,0.011706,LogNormal
liveintent,0.24774179,beehiiv,0.051898,0.011706,LogNormal
beehiiv,1.0482578,beehiiv,0.051898,0.011706,LogNormal
amazon,0.8308557,beehiiv,0.051898,0.011706,LogNormal
meta,-0.04091602,beehiiv,0.051898,0.016722,Normal
google,-0.016240247,beehiiv,0.051898,0.016722,Normal
snapchat,-0.0047787973,beehiiv,0.051898,0.016722,Normal
tiktok,-0.020740744,beehiiv,0.051898,0.016722,Normal
moloco,0.11335164,beehiiv,0.051898,0.016722,Normal
liveintent,0.49064016,beehiiv,0.051898,0.016722,Normal
beehiiv,0.055723567,beehiiv,0.051898,0.016722,Normal
