channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
tiktok,0.12494992,moloco,0.036328,0.011706,LogNormal
moloco,1.0312831,moloco,0.036328,0.011706,LogNormal
liveintent,0.23756973,moloco,0.036328,0.011706,LogNormal
beehiiv,0.3588014,moloco,0.036328,0.011706,LogNormal
amazon,0.73093975,moloco,0.036328,0.011706,LogNormal
meta,-0.027657771,moloco,0.036328,0.016722,Normal
google,-0.03211562,moloco,0.036328,0.016722,Normal
snapchat,0.012202777,moloco,0.036328,0.016722,Normal
tiktok,-0.028666284,moloco,0.036328,0.016722,Normal
moloco,0.03708889,moloco,0.036328,0.016722,Normal
liveintent,0.4934054,moloco,0.036328,0.016722,Normal
beehiiv,0.29551318,moloco,0.036328,0.016722,Normal
amazon,0.2747289,moloco,0.036328,0.016722,Normal
meta,0.08861577,moloco,0.036328,0.016722,LogNormal
google,0.041275006,moloco,0.036328,0.016722,LogNormal
snapchat,0.07509462,moloco,0.036328,0.016722,LogNormal
tiktok,0.12421002,moloco,0.036328,0.016722,LogNormal
moloco,1.0296996,moloco,0.036328,0.016722,LogNormal
liveintent,0.21126032,moloco,0.036328,0.016722,LogNormal
beehiiv,0.33596268,moloco,0.036328,0.016722,LogNormal
amazon,0.7229749,moloco,0.036328,0.016722,LogNormal
meta,-0.056617804,moloco,0.036328,0.023411,Normal
google,-0.018044865,moloco,0.036328,0.023411,Normal
snapchat,0.022251382,moloco,0.036328,0.023411,Normal
tiktok,-0.07359962,moloco,0.036328,0.023411,Normal
moloco,0.038162928,moloco,0.036328,0.023411,Normal
liveintent,0.30869073,moloco,0.036328,0.023411,Normal
beehiiv,0.2971158,moloco,0.036328,0.023411,Normal
amazon,0.46979302,moloco,0.036328,0.023411,Normal
meta,0.10111712,moloco,0.036328,0.023411,LogNormal
google,0.038226523,moloco,0.036328,0.023411,LogNormal
snapchat,0.07857753,moloco,0.036328,0.023411,LogNormal
tiktok,0.12308933,moloco,0.036328,0.023411,LogNormal
moloco,1.0206425,moloco,0.036328,0.023411,LogNormal
liveintent,0.25693455,moloco,0.036328,0.023411,LogNormal
beehiiv,0.34626636,moloco,0.036328,0.023411,LogNormal
amazon,0.6520933,moloco,0.036328,0.023411,LogNormal
meta,-0.010595478,moloco,0.036328,0.033445,Normal
google,0.0025066847,moloco,0.036328,0.033445,Normal
snapchat,-0.020144144,moloco,0.036328,0.033445,Normal
tiktok,-0.06493406,moloco,0.036328,0.033445,Normal
moloco,0.042051267,moloco,0.036328,0.033445,Normal
liveintent,0.24748214,moloco,0.036328,0.033445,Normal
beehiiv,0.34222978,moloco,0.036328,0.033445,Normal
amazon,0.35630077,moloco,0.036328,0.033445,Normal
meta,0.09351127,moloco,0.036328,0.033445,LogNormal
google,0.039604656,moloco,0.036328,0.033445,LogNormal
snapchat,0.07655378,moloco,0.036328,0.033445,LogNormal
tiktok,0.12089604,moloco,0.036328,0.033445,LogNormal
moloco,1.0003884,moloco,0.036328,0.033445,LogNormal
liveintent,0.22498289,moloco,0.036328,0.033445,LogNormal
beehiiv,0.33143497,moloco,0.036328,0.033445,LogNormal
amazon,0.67041695,moloco,0.036328,0.033445,LogNormal
meta,-0.05202524,moloco,0.051898,0.006689,Normal
google,-0.0134084765,moloco,0.051898,0.006689,Normal
snapchat,0.019766906,moloco,0.051898,0.006689,Normal
tiktok,-0.06759573,moloco,0.051898,0.006689,Normal
moloco,0.05404227,moloco,0.051898,0.006689,Normal
liveintent,0.33067775,moloco,0.051898,0.006689,Normal
beehiiv,0.2816533,moloco,0.051898,0.006689,Normal
amazon,0.38870847,moloco,0.051898,0.006689,Normal
meta,0.08944148,moloco,0.051898,0.006689,LogNormal
google,0.039654978,moloco,0.051898,0.006689,LogNormal
snapchat,0.0748827,moloco,0.051898,0.006689,LogNormal
tiktok,0.12632418,moloco,0.051898,0.006689,LogNormal
moloco,1.0527785,moloco,0.051898,0.006689,LogNormal
liveintent,0.21812221,moloco,0.051898,0.006689,LogNormal
beehiiv,0.3317179,moloco,0.051898,0.006689,LogNormal
amazon,0.68065363,moloco,0.051898,0.006689,LogNormal
meta,-0.050369304,moloco,0.051898,0.011706,Normal
google,-0.03164348,moloco,0.051898,0.011706,Normal
snapchat,0.0066156657,moloco,0.051898,0.011706,Normal
tiktok,-0.06157859,moloco,0.051898,0.011706,Normal
moloco,0.05269354,moloco,0.051898,0.011706,Normal
liveintent,0.5113213,moloco,0.051898,0.011706,Normal
beehiiv,0.2976323,moloco,0.051898,0.011706,Normal
amazon,0.42617264,moloco,0.051898,0.011706,Normal
meta,0.090457976,moloco,0.051898,0.011706,LogNormal
google,0.040792488,moloco,0.051898,0.011706,LogNormal
snapchat,0.07532884,moloco,0.051898,0.011706,LogNormal
tiktok,0.12492236,moloco,0.051898,0.011706,LogNormal
moloco,1.048776,moloco,0.051898,0.011706,LogNormal
