channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
tiktok,-0.08227704,google,0.036328,0.016722,Normal
moloco,0.077071585,google,0.036328,0.016722,Normal
liveintent,0.21840987,google,0.036328,0.016722,Normal
beehiiv,0.27276507,google,0.036328,0.016722,Normal
amazon,0.33789593,google,0.036328,0.016722,Normal
meta,0.49788532,google,0.036328,0.016722,LogNormal
google,0.9985673,google,0.036328,0.016722,LogNormal
snapchat,0.13050508,google,0.036328,0.016722,LogNormal
tiktok,0.30717057,google,0.036328,0.016722,LogNormal
moloco,0.4767173,google,0.036328,0.016722,LogNormal
liveintent,0.4876011,google,0.036328,0.016722,LogNormal
beehiiv,0.6038941,google,0.036328,0.016722,LogNormal
amazon,1.4214084,google,0.036328,0.016722,LogNormal
meta,-0.030367946,google,0.036328,0.023411,Normal
google,0.012659672,google,0.036328,0.023411,Normal
snapchat,-0.02346637,google,0.036328,0.023411,Normal
tiktok,-0.064681284,google,0.036328,0.023411,Normal
moloco,0.14628085,google,0.036328,0.023411,Normal
liveintent,0.30417174,google,0.036328,0.023411,Normal
beehiiv,0.1758925,google,0.036328,0.023411,Normal
amazon,0.24914405,google,0.036328,0.023411,Normal
meta,0.44439012,google,0.036328,0.023411,LogNormal
google,0.97314274,google,0.036328,0.023411,LogNormal
snapchat,0.17222789,google,0.036328,0.023411,LogNormal
tiktok,0.27813345,google,0.036328,0.023411,LogNormal
moloco,0.47649303,google,0.036328,0.023411,LogNormal
liveintent,0.4953023,google,0.036328,0.023411,LogNormal
beehiiv,0.6672597,google,0.036328,0.023411,LogNormal
amazon,1.489114,google,0.036328,0.023411,LogNormal
meta,-0.030414423,google,0.036328,0.033445,Normal
google,-0.0006209105,google,0.036328,0.033445,Normal
snapchat,-0.032483745,google,0.036328,0.033445,Normal
tiktok,-0.08033499,google,0.036328,0.033445,Normal
moloco,0.09102773,google,0.036328,0.033445,Normal
liveintent,0.41558546,google,0.036328,0.033445,Normal
beehiiv,0.3583754,google,0.036328,0.033445,Normal
amazon,0.36730683,google,0.036328,0.033445,Normal
meta,0.44401675,google,0.036328,0.033445,LogNormal
google,0.9094342,google,0.036328,0.033445,LogNormal
snapchat,0.15759102,google,0.036328,0.033445,LogNormal
tiktok,0.31510308,google,0.036328,0.033445,LogNormal
moloco,0.48433322,google,0.036328,0.033445,LogNormal
liveintent,0.49956742,google,0.036328,0.033445,LogNormal
beehiiv,0.64906394,google,0.036328,0.033445,LogNormal
amazon,1.3254569,google,0.036328,0.033445,LogNormal
meta,-0.0018248914,google,0.051898,0.006689,Normal
google,0.050344028,google,0.051898,0.006689,Normal
snapchat,-0.03924806,google,0.051898,0.006689,Normal
tiktok,-0.08813762,google,0.051898,0.006689,Normal
moloco,0.06357311,google,0.051898,0.006689,Normal
liveintent,-0.030824203,google,0.051898,0.006689,Normal
beehiiv,0.33462864,google,0.051898,0.006689,Normal
amazon,0.25898993,google,0.051898,0.006689,Normal
