channel,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,estimated_roi,baseline_mu,baseline_sigma,baseline_roi,pct_change,abs_pct_change
liveintent,"google,meta,moloco",0.020759,0.033445,LogNormal,0.48236075,0.051898,0.016722,1.4225322,-66.09140025090468,66.09140025090468
beehiiv,"google,meta,moloco",0.020759,0.033445,LogNormal,0.6915503,0.051898,0.016722,1.4225322,-51.38596511207268,51.38596511207268
amazon,"google,meta,moloco",0.020759,0.033445,LogNormal,1.4769697,0.051898,0.016722,1.4225322,3.8268026551525454,3.8268026551525454
meta,"google,meta,moloco",0.051898,0.006689,Normal,0.04874911,0.051898,0.016722,0.12061889,-59.58418287550151,59.58418287550151
google,"google,meta,moloco",0.051898,0.006689,Normal,0.049583025,0.051898,0.016722,0.12061889,-58.89281935855984,58.89281935855984
snapchat,"google,meta,moloco",0.051898,0.006689,Normal,-0.054547194,0.051898,0.016722,0.12061889,-145.22276237163183,145.22276237163183
tiktok,"google,meta,moloco",0.051898,0.006689,Normal,-0.054774724,0.051898,0.016722,0.12061889,-145.4113978332913,145.4113978332913
moloco,"google,meta,moloco",0.051898,0.006689,Normal,0.05057297,0.051898,0.016722,0.12061889,-58.072097993937774,58.072097993937774
liveintent,"google,meta,moloco",0.051898,0.006689,Normal,0.008051061,0.051898,0.016722,0.12061889,-93.32520718769672,93.32520718769672
beehiiv,"google,meta,moloco",0.051898,0.006689,Normal,0.25374797,0.051898,0.016722,0.12061889,110.3716673234184,110.3716673234184
amazon,"google,meta,moloco",0.051898,0.006689,Normal,0.10708064,0.051898,0.016722,0.12061889,-11.223988216107776,11.223988216107776
meta,"google,meta,moloco",0.051898,0.006689,LogNormal,1.0529722,0.051898,0.016722,1.4225322,-25.979025290253542,25.979025290253542
google,"google,meta,moloco",0.051898,0.006689,LogNormal,1.0469602,0.051898,0.016722,1.4225322,-26.401651927457248,26.401651927457248
snapchat,"google,meta,moloco",0.051898,0.006689,LogNormal,0.1657938,0.051898,0.016722,1.4225322,-88.34516364550484,88.34516364550484
tiktok,"google,meta,moloco",0.051898,0.006689,LogNormal,0.2975736,0.051898,0.016722,1.4225322,-79.0814155208578,79.0814155208578
