channel,target_channel,in_target_set,n_runs_used,n_self_rows,n_cross_rows,channel_total_spend,sensitivity_mu_elasticity_median,sensitivity_sigma_elasticity_median,sensitivity_joint_elasticity_median,sensitivity_any_elasticity_median,sensitivity_dist_shift_median,sensitivity_fragility,prior_sensitivity_raw,prior_sensitivity_subscore,data_diffuse_shift_median,data_influence_raw,data_influence_subscore,cross_channel_fragility,max_cross_channel_fragility,cross_channel_subscore,near_zero_baseline_fallback_rate,score_method,band_method,overall_channel_robustness_score,relative_rank,relative_rank_total,relative_rank_label,relative_rank_method,absolute_band,robustness_band,targets
google,google,True,5,5,35,10298543.94665,1.1736557617515804,0.8611825370520425,1.1731616117908694,1.1731616117908694,,1.1731616117908694,1.1731616117908694,46.01590579247878,,36.68519843804402,36.68519843804402,0.024175921709182327,0.07641777773722913,91.18233229290439,0.0,absolute_prior_sensitivity_v1,provisional_fixed_thresholds,50.45819292893393,5,5,5 / 5 tested channels,score_rank_within_current_run,Medium,Medium,"amazon,google,meta,snapchat,tiktok"
tiktok,tiktok,True,7,7,49,1752685.00913,1.2296339041728723,0.6380181537512576,1.0255159476508418,1.0255159476508418,,1.0255159476508418,1.0255159476508418,49.37013708333339,,28.086819370741413,28.086819370741413,0.01867266176062969,0.07890770699978855,93.05003283986301,0.0,absolute_prior_sensitivity_v1,provisional_fixed_thresholds,50.601292018664836,4,5,4 / 5 tested channels,score_rank_within_current_run,Medium,Medium,"amazon,google,meta,snapchat,tiktok"
meta,meta,True,5,5,35,840158.1265220001,0.9530135731460363,0.36523547325166034,0.7466636969040644,0.7466636969040644,,0.7466636969040644,0.7466636969040644,57.252005739426835,,26.325742836430752,26.325742836430752,0.021326698872346297,0.10193237922464499,92.13984507938893,0.0,absolute_prior_sensitivity_v1,provisional_fixed_thresholds,54.753615914672125,3,5,3 / 5 tested channels,score_rank_within_current_run,Medium,Medium,"amazon,google,meta,snapchat,tiktok"
amazon,amazon,True,5,5,35,15740.258094,1.0413874848194418,0.042387141964585553,0.5261970249225192,0.5261970249225192,,0.5261970249225192,0.5261970249225192,65.5223397549715,,21.922686788107452,21.922686788107452,0.02176617254251699,0.0964542819599456,91.99084553501163,0.0,absolute_prior_sensitivity_v1,provisional_fixed_thresholds,58.5927023802615,2,5,2 / 5 tested channels,score_rank_within_current_run,Medium,Medium,"amazon,google,meta,snapchat,tiktok"
snapchat,snapchat,True,5,5,35,4342436.908989999,1.1499610080941394,0.3218428708639338,0.41669195329380376,0.41669195329380376,,0.41669195329380376,0.41669195329380376,70.58697536009882,0.1426651674937481,47.37875339830468,47.37875339830468,0.0206193604741554,0.04839894129187326,92.38067799804567,0.0,absolute_prior_sensitivity_v1,provisional_fixed_thresholds,68.0539752653423,1,5,1 / 5 tested channels,score_rank_within_current_run,Medium,Medium,"amazon,google,meta,snapchat,tiktok"
