channel,mu_slice_count,mu_sensitivity_roi_median,mu_sensitivity_roi_max,mu_sensitivity_contribution_median,mu_sensitivity_contribution_max,sigma_slice_count,sigma_sensitivity_roi_median,sigma_sensitivity_roi_max,sigma_sensitivity_contribution_median,sigma_sensitivity_contribution_max,mu_vs_sigma_roi_ratio,dominant_driver
amazon,3,0.02180469216274411,0.11893690913915639,34321.148230181134,181745.3869893155,6,0.026808551261977606,0.11160744414936438,42197.35159897573,175672.99761226863,0.8133483958034526,sigma
beehiiv,3,0.03128260894678542,0.06605077932123089,1026608.4891610844,1751946.5540061505,6,0.019258711191359884,0.04794182248879221,632017.5031751413,1573317.6870436654,1.6243355350185564,mu
google,3,0.002928576453899299,0.004631415028028002,3016007.331160631,3322462.4349836595,6,0.0023203413726878503,0.0031178621697472014,2389613.759785601,3210944.0574739054,1.2621317226727193,mu
liveintent,3,0.004832511750282695,0.010756250989700997,385628.2390479138,858335.0320199691,6,0.004663360501096302,0.009755626865274494,372130.1863318109,778486.5103833927,1.0362723939413707,balanced
meta,3,0.1019336914619392,0.4455057800972524,8564041.924813444,34864800.472277865,6,0.09484378998012591,0.4023507453811665,7968378.090194861,33803824.844417125,1.0747534602244275,balanced
moloco,3,0.009081145870732096,0.009196407588897296,764845.5347053176,774553.2755252561,6,0.004270529977317597,0.009215239330272504,359678.81481825,776139.3499597581,2.126468124323094,mu
snapchat,3,0.003853045383584698,0.004193103856135402,1673160.6485691722,1820828.894811064,6,0.0014495184610132487,0.0021018855950871995,556820.240045812,912730.5586581081,2.6581554407325902,mu
tiktok,3,0.014239335769088902,0.031815130226896096,2495707.034245072,4850515.602845028,6,0.013201646271045349,0.026142787578670904,2313832.7515098155,4582007.188600648,1.0786030375862652,balanced
