channel,mu_sensitivity_roi_median,mu_sensitivity_roi_max,mu_sensitivity_contribution_median,mu_sensitivity_contribution_max
meta,0.1019336914619392,0.4455057800972524,8564041.924813444,34864800.472277865
beehiiv,0.03128260894678542,0.06605077932123089,1026608.4891610844,1751946.5540061505
amazon,0.02180469216274411,0.11893690913915639,34321.148230181134,181745.3869893155
tiktok,0.014239335769088902,0.031815130226896096,2495707.034245072,4850515.602845028
moloco,0.009081145870732096,0.009196407588897296,764845.5347053176,774553.2755252561
liveintent,0.004832511750282695,0.010756250989700997,385628.2390479138,858335.0320199691
snapchat,0.003853045383584698,0.004193103856135402,1673160.6485691722,1820828.894811064
google,0.002928576453899299,0.004631415028028002,3016007.331160631,3322462.4349836595
