channel,sigma_sensitivity_roi_median,sigma_sensitivity_roi_max,sigma_sensitivity_contribution_median,sigma_sensitivity_contribution_max
meta,0.09484378998012591,0.4023507453811665,7968378.090194861,33803824.844417125
amazon,0.026808551261977606,0.11160744414936438,42197.35159897573,175672.99761226863
beehiiv,0.019258711191359884,0.04794182248879221,632017.5031751413,1573317.6870436654
tiktok,0.013201646271045349,0.026142787578670904,2313832.7515098155,4582007.188600648
liveintent,0.004663360501096302,0.009755626865274494,372130.1863318109,778486.5103833927
moloco,0.004270529977317597,0.009215239330272504,359678.81481825,776139.3499597581
google,0.0023203413726878503,0.0031178621697472014,2389613.759785601,3210944.0574739054
snapchat,0.0014495184610132487,0.0021018855950871995,556820.240045812,912730.5586581081
