channel,channel_total_spend,effect_raw,estimated_roi,spend_share,effect_share,spend_share_pct,effect_share_pct,share_gap_pp,effect_negative
meta,840158.1265220001,39889560.27040541,0.4747863409419854,0.043717345681286386,0.40072634435447807,4.371734568128638,40.07263443544781,35.700899867319166,False
google,10298543.94665,18505864.616054144,0.0179693990839102,0.535881272247419,0.18590797758711153,53.588127224741896,18.590797758711155,-34.99732946603075,False
snapchat,4342436.908989999,12449498.434190556,0.0286693824115597,0.22595724478125545,0.1250663572814882,22.595724478125547,12.50663572814882,-10.089088749976725,False
tiktok,1752685.00913,10621898.089030012,0.0606035769901548,0.09120037525761929,0.10670647564096483,9.120037525761928,10.670647564096484,1.5506100383345545,False
liveintent,797987.173079,7314931.328640063,0.0916672795681127,0.041522994295305,0.07348503394520338,4.1522994295305,7.348503394520338,3.1962039649898375,False
moloco,842234.6095886,6304555.401608839,0.0748550977344469,0.043825394779614675,0.06333490321128857,4.382539477961467,6.333490321128857,1.9509508431673892,False
beehiiv,328172.2732613,4044981.186914708,0.1232578592553424,0.01707633391891276,0.040635457323342776,1.707633391891276,4.063545732334277,2.3559123404430014,False
amazon,15740.258094,411854.8471752947,0.2616569847303132,0.0008190390385875117,0.00413745065612253,0.08190390385875117,0.41374506561225305,0.33184116175350187,False
