run_id,channel,target_channel,targets,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,qc_status_code,qc_summary_short
multi|meta|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,liveintent,meta,meta,0.5,1.0,LogNormal,lognormal,False,0.1042646198424821,0.1033024348823043,,0.0020646788203158,0.0202023484521187,8320182.9240258895,164758.72151398938,0.14813889559386884,56164742.49164204,8320182.9240258895,0.14813889559386884,797987.173079,0.041522994295304996,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,beehiiv,meta,meta,0.5,1.0,LogNormal,lognormal,False,0.1969542981723013,0.1775703480498244,,0.007645659595728,0.0403872726211351,6463493.975978802,250909.34901121352,0.11508098656271136,56164742.49164204,6463493.975978802,0.11508098656271136,328172.2732613,0.017076333918912757,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,amazon,meta,meta,0.5,1.0,LogNormal,lognormal,False,0.1422959603865941,0.1465167666824224,,0.0004241152045627,0.0029716576508664,223977.5142218591,-667.5682781406504,0.003987866841109251,56164742.49164204,223977.5142218591,0.003987866841109251,15740.258094,0.0008190390385875116,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,meta,meta,0.5,1.5,LogNormal,lognormal,False,0.0142268546335981,0.0487444552453234,,0.0150537062111349,0.5141194627712455,1195280.7535264615,-1264749.360755969,0.02168821765336881,55111986.269687764,1195280.7535264615,0.02168821765336881,840158.1265220001,0.04371734568128637,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,meta,meta,0.5,1.5,LogNormal,lognormal,False,0.0139916747432046,0.0151750972773879,,2.483788121100672e-06,0.000177487493481,14409387.723012542,-2557.9401119314134,0.2614565124272771,55111986.269687764,14409387.723012542,0.2614565124272771,10298543.94665,0.5358812722474189,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,snapchat,meta,meta,0.5,1.5,LogNormal,lognormal,False,0.0319770092594747,0.0295174331237406,,0.0017723147270347,0.0586767969174866,13885814.52474579,769616.4885022007,0.2519563431591133,55111986.269687764,13885814.52474579,0.2519563431591133,4342436.908989999,0.2259572447812554,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,meta,meta,0.5,1.5,LogNormal,lognormal,False,0.0270794821282227,0.0307713768429433,,0.001708964635036,0.0593628634809527,4746180.238113968,-299527.6696960926,0.08611883837553541,55111986.269687764,4746180.238113968,0.08611883837553541,1752685.00913,0.09120037525761927,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,moloco,meta,meta,0.5,1.5,LogNormal,lognormal,False,0.0747853642671058,0.0703099257564948,,0.0038850545599901,0.0547960167739605,6298682.207644709,327212.7410563677,0.11428878968038679,55111986.269687764,6298682.207644709,0.11428878968038679,842234.6095886,0.04382539477961466,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,liveintent,meta,meta,0.5,1.5,LogNormal,lognormal,False,0.1033058214839547,0.1033024348823043,,0.0011058804617884,0.0108207544028675,8243672.044858484,88247.8423465835,0.14958038355791578,55111986.269687764,8243672.044858484,0.14958038355791578,797987.173079,0.041522994295304996,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,beehiiv,meta,meta,0.5,1.5,LogNormal,lognormal,False,0.1861898032474952,0.1775703480498244,,0.003118835329078,0.0164748706267651,6110233.098980468,-102351.52798712067,0.11086940450812907,55111986.269687764,6110233.098980468,0.11086940450812907,328172.2732613,0.017076333918912757,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
