channel,sigma_sensitivity_roi_median,sigma_sensitivity_roi_max,sigma_sensitivity_contribution_median,sigma_sensitivity_contribution_max
amazon,0.34129527902395546,1.5329376123137384,450668.0035167561,2412883.365981836
tiktok,0.3001378950177847,1.4364746555980918,48014846.85821835,251768759.4861955
meta,0.10336638319286673,0.5685891253718487,8684410.684867406,47770477.433319494
moloco,0.06328970858361571,1.0901855986410132,4774261.363777291,91819204.20505278
snapchat,0.06076189567257334,0.4240792023933803,20501423.885043383,28246374.56663242
beehiiv,0.03837469738093205,0.5320738609053659,751696.2636653185,16577746.345407369
liveintent,0.03402226686865714,1.041746482003946,2714933.2560259067,83130033.02393222
google,0.021506949938678493,0.2644564242195338,15322382.128848612,47429966.80271909
