index,channel,max_change,median_change,mean_change,n
2,google,279707159.11166644,250258950.09610265,222181050.21919084,34
7,tiktok,263382658.25738013,2567371.597662784,17838274.65238935,34
6,snapchat,195574567.29545125,176004147.12577248,157845727.30778438,34
5,moloco,84551513.74153636,6773039.194318064,12295492.488642696,34
3,liveintent,79705102.70430553,588378.7250609174,7558242.117667919,34
4,meta,26721866.61889405,17285319.636984106,15348974.154415708,34
1,beehiiv,8986705.874032298,8100029.571715748,7395218.337031328,34
0,amazon,3759552.4626942985,220054.41890774784,1046228.9710865939,34
