check,pass_count,review_count,fail_count,unknown_count,coverage_pct
convergence,36,0,4,0,100.0
baseline,36,0,0,4,100.0
bayesianppp,36,0,0,4,100.0
gof,36,0,0,4,100.0
prior_posterior_shift,0,36,0,4,100.0
roi_consistency,36,0,0,4,100.0
