channel,roi_prior_dist,max_abs_pct_change,max_abs_pct_change_raw,max_abs_delta_roi,baseline_roi,baseline_mu,baseline_sigma,pct_metric_reliable,pct_metric_unstable_reason,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,primary_metric,primary_value,ranking_metric_label
amazon,LogNormal,,374.508393765434,2.388494801192234,0.6377680289559067,0.5,0.5,False,baseline_qc=FAIL,False,False,4,0.4011314874659764,delta_roi,2.388494801192234,Max |Delta ROI|
tiktok,LogNormal,,366.4628570108684,1.5027381239947866,0.4100656028968903,0.5,1.0,False,baseline_qc=REVIEW; local_volatility_ratio=2.359 > max_local_sensitivity_ratio=1.000,False,False,3,2.359302043843391,delta_roi,1.5027381239947866,Max |Delta ROI|
moloco,LogNormal,,158.3579846806114,1.003895028522238,0.6339402654984345,0.5,0.5,False,baseline_qc=FAIL,False,False,4,0.7702665809553269,delta_roi,1.003895028522238,Max |Delta ROI|
liveintent,LogNormal,,194.7733248888692,0.9988268658099697,0.5128150204243138,0.5,0.5,False,baseline_qc=FAIL,False,False,4,0.9545507606228851,delta_roi,0.9988268658099697,Max |Delta ROI|
meta,LogNormal,,51.29346338011992,0.3180575867249476,0.6200743053123976,0.5,0.5,False,baseline_qc=FAIL,False,False,3,0.44058152827523633,delta_roi,0.3180575867249476,Max |Delta ROI|
beehiiv,LogNormal,,2.6657764011264127,0.026920083571846387,1.0098402686913808,1.0,0.5,False,baseline_qc=REVIEW,False,False,1,0.02665776401126413,delta_roi,0.026920083571846387,Max |Delta ROI|
