run_id,channel,target_channel,targets,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,qc_status_code,qc_summary_short
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",google,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.2461622731562238,0.5177610162024696,,0.2715987430462458,0.5245639098870232,253511298.81066325,-279707159.11166644,0.39073321719550336,648809181.4416149,253511298.81066325,0.39073321719550336,10298543.94665,0.535881272247419,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",liveintent,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.4977206226112321,0.5128150204243138,,0.0150943978130816,0.0294343909829167,39717467.262065694,-1204513.5840190873,0.06121594514710146,648809181.4416149,39717467.262065694,0.06121594514710146,797987.173079,0.041522994295305,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",meta,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.4065775367089858,0.6200743053123976,,0.2134967686034118,0.3443083623596541,34158942.15273512,-17937104.51283434,0.05264867256785117,648809181.4416149,34158942.15273512,0.05264867256785117,840158.1265220001,0.043717345681286386,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",moloco,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.5696158698263267,0.6339402654984345,,0.0643243956721077,0.1014675974581498,47975019.97386471,-5417623.227592029,0.07394318907027042,648809181.4416149,47975019.97386471,0.07394318907027042,842234.6095886,0.043825394779614675,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",snapchat,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.3962698824323403,0.8269837570687135,,0.4307138746363732,0.5208250717802012,172077696.33953223,-187034782.64350787,0.26522080954092847,648809181.4416149,172077696.33953223,0.26522080954092847,4342436.908989999,0.22595724478125545,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",tiktok,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.4763613089794914,0.464742603781633,,0.0116187051978584,0.0250003014643298,83491132.51778987,2036393.042578712,0.12868364829899234,648809181.4416149,83491132.51778987,0.12868364829899234,1752685.00913,0.09120037525761929,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,amazon,amazon,0.5,1.5,LogNormal,lognormal,False,0.4908967166749062,0.6377680289559067,,0.1468713122810004,0.2302895498249485,772684.1017960217,-231179.236190742,0.0011450348886736963,674812714.8256838,772684.1017960217,0.0011450348886736963,15740.258094,0.0008190390385875117,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",beehiiv,amazon,amazon,0.5,1.5,LogNormal,lognormal,False,0.5196523226083567,0.762659886876742,,0.2430075642683853,0.3186316318058291,17053548.401589885,-7974834.478564747,0.025271527976462507,674812714.8256838,17053548.401589885,0.025271527976462507,328172.2732613,0.01707633391891276,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",google,amazon,amazon,0.5,1.5,LogNormal,lognormal,False,0.2691551433666609,0.5177610162024696,,0.2486058728358087,0.4801556414177613,277190607.24284387,-256027850.6794858,0.41076672260754177,674812714.8256838,277190607.24284387,0.41076672260754177,10298543.94665,0.535881272247419,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",liveintent,amazon,amazon,0.5,1.5,LogNormal,lognormal,False,0.5048623880526671,0.5128150204243138,,0.0079526323716466,0.015507799215917,40287370.98360609,-634609.8624786884,0.05970155881549007,674812714.8256838,40287370.98360609,0.05970155881549007,797987.173079,0.041522994295305,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
