channel,mu_sensitivity_roi_median,mu_sensitivity_roi_max,mu_sensitivity_contribution_median,mu_sensitivity_contribution_max
amazon,2.5215264390983307,2.535366113473234,3968947.6942252507,3990731.6988850404
moloco,1.0141778284839045,1.1036889223723363,85417566.74265555,92956500.86415271
liveintent,1.007723778593354,1.041746482003946,80415064.93241987,83130033.02393222
tiktok,0.5197453230371079,1.5027381239947866,3969012.4947997928,254202914.11991584
beehiiv,0.5167960912873968,0.5179757370031438,968836.6453193538,16998527.5106519
meta,0.48756041397185385,0.5807273577017866,40962784.396888345,48790280.88668044
snapchat,0.0927103214741995,0.43588446522907665,21672011.328661233,40258872.18138915
google,0.03795326330543808,0.2715987430462458,39086335.00698328,47429966.80271909
