channel,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,estimated_roi
google,"google,meta,moloco",0.051898,0.033445,LogNormal,0.9210342
snapchat,"google,meta,moloco",0.051898,0.033445,LogNormal,0.16522005
tiktok,"google,meta,moloco",0.051898,0.033445,LogNormal,0.29035217
moloco,"google,meta,moloco",0.051898,0.033445,LogNormal,1.0393741
liveintent,"google,meta,moloco",0.051898,0.033445,LogNormal,0.48304152
beehiiv,"google,meta,moloco",0.051898,0.033445,LogNormal,0.69387335
amazon,"google,meta,moloco",0.051898,0.033445,LogNormal,1.509322
meta,"google,meta,moloco",0.103795,0.006689,Normal,0.10076485
google,"google,meta,moloco",0.103795,0.006689,Normal,0.10189037
snapchat,"google,meta,moloco",0.103795,0.006689,Normal,-0.14983621
tiktok,"google,meta,moloco",0.103795,0.006689,Normal,-0.06613699
moloco,"google,meta,moloco",0.103795,0.006689,Normal,0.10337531
liveintent,"google,meta,moloco",0.103795,0.006689,Normal,-0.17066896
beehiiv,"google,meta,moloco",0.103795,0.006689,Normal,0.22274344
amazon,"google,meta,moloco",0.103795,0.006689,Normal,-0.054310445
meta,"google,meta,moloco",0.103795,0.006689,LogNormal,1.1092556
google,"google,meta,moloco",0.103795,0.006689,LogNormal,1.1027772
snapchat,"google,meta,moloco",0.103795,0.006689,LogNormal,0.1707902
tiktok,"google,meta,moloco",0.103795,0.006689,LogNormal,0.3017854
moloco,"google,meta,moloco",0.103795,0.006689,LogNormal,1.1087843
liveintent,"google,meta,moloco",0.103795,0.006689,LogNormal,0.5038955
beehiiv,"google,meta,moloco",0.103795,0.006689,LogNormal,0.72019905
amazon,"google,meta,moloco",0.103795,0.006689,LogNormal,1.4661058
meta,"google,meta,moloco",0.103795,0.016722,Normal,0.08408176
google,"google,meta,moloco",0.103795,0.016722,Normal,0.08903988
snapchat,"google,meta,moloco",0.103795,0.016722,Normal,-0.13312508
tiktok,"google,meta,moloco",0.103795,0.016722,Normal,-0.07736483
moloco,"google,meta,moloco",0.103795,0.016722,Normal,0.10103587
liveintent,"google,meta,moloco",0.103795,0.016722,Normal,-0.09580058
beehiiv,"google,meta,moloco",0.103795,0.016722,Normal,0.25634158
amazon,"google,meta,moloco",0.103795,0.016722,Normal,0.018151753
meta,"google,meta,moloco",0.103795,0.016722,LogNormal,1.1069146
google,"google,meta,moloco",0.103795,0.016722,LogNormal,1.0672581
