channel,in_target_set,n_runs_used,channel_total_spend,sensitivity_mu_elasticity_median,sensitivity_sigma_elasticity_median,sensitivity_joint_elasticity_median,sensitivity_dist_shift_median,prior_sensitivity_raw,data_diffuse_shift_median,data_prior_shift_flag_rate,data_influence_raw,cross_channel_coupling_raw,adstock_proxy_sign_flip_rate,adstock_proxy_raw,prior_sensitivity_fragility_rank,data_influence_fragility_rank,cross_channel_fragility_rank,adstock_proxy_fragility_rank,prior_sensitivity_subscore,data_influence_subscore,cross_channel_subscore,adstock_proxy_subscore,overall_channel_robustness_score,robustness_band,targets
google,True,11,10298543.94665,1.2895172711287004,0.3750071659476223,0.2503606601720168,,0.6382950324161132,0.5979715399040819,0.0,0.3776016661615741,0.9638345722362613,0.0,0.32585583935488766,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Low,google
beehiiv,False,11,328172.2732613,0.12184108958963369,0.0627458642199063,0.018288593248248722,,0.06762518235259624,0.10055708595763554,0.0,0.2950944282938798,0.5186193291312144,0.0,0.23749570952856536,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,28.57142857142857,14.28571428571429,28.57142857142857,14.28571428571429,23.57142857142857,Low,google
liveintent,False,11,797987.173079,0.14945102741140795,0.03439795373863771,0.023184415589907498,,0.06901113224665105,0.04606814786008253,0.0,0.2437429766808507,0.532639342412668,0.0,0.22098781511034235,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.7142857142857143,14.28571428571429,42.85714285714286,14.28571428571429,28.57142857142857,23.571428571428573,Low,google
meta,False,11,840158.1265220001,0.06754988557763467,0.03996613783696514,0.01538932884007718,,0.040968450751559,0.05271195442510015,0.0,0.2159274716241871,0.49971499046791085,0.0,0.16048123510392087,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.0,42.85714285714286,71.42857142857143,42.85714285714286,100.0,54.28571428571429,Medium,google
amazon,False,11,15740.258094,0.07275412095592879,0.02453504160336366,0.008444082993366037,,0.035244415184219495,0.03842844656075908,0.0,0.2561232323147989,0.4995063275661567,0.0,0.2200759997831668,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.5714285714285714,71.42857142857143,28.57142857142857,57.14285714285714,42.85714285714286,55.0,Medium,google
tiktok,False,11,1752685.00913,0.09403225008244917,0.011494957895737597,0.011938120186250518,,0.03915510938814576,0.02731140446359126,0.0,0.20669642738018448,0.49679356620685755,0.0,0.17796724580082338,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,57.14285714285714,85.71428571428572,71.42857142857143,57.14285714285714,67.85714285714286,High,google
moloco,False,11,842234.6095886,0.0445363248677004,0.013828618499700851,0.006335256455774109,,0.021566733274391788,0.026007233467999047,0.0,0.22142501368147166,0.48719788744950404,0.0,0.16871008832088732,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,100.0,57.14285714285714,85.71428571428572,71.42857142857143,83.57142857142857,High,google
snapchat,False,11,4342436.908989999,0.0612384846131122,0.0025392308014605416,0.005264360955058681,,0.02301402545654381,0.0018004620694151835,0.0,0.20232450426945575,0.4805265126220042,0.0,0.16863915994758438,0.14285714285714285,0.0,0.0,0.14285714285714285,85.71428571428572,100.0,100.0,85.71428571428572,92.14285714285715,High,google
