targets,prior_key,channel,roi_baseline,roi_new,delta_abs,delta_pct
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}",beehiiv,0.4773862166666667,0.2568536,0.22053261666666668,0.4619584918193246
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}",amazon,1.3454192333333335,0.21087281,1.1345464233333336,0.843266095224792
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}",meta,1.0443267,1.0347847,0.009542000000000161,0.009136987496345839
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}",google,0.05527999733333333,0.056465924,0.0011859266666666701,0.02145308834795423
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}",snapchat,0.109747375,0.09652074,0.013226635,0.12051891901742529
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}",tiktok,1.0378102666666666,1.0268066,0.011003666666666634,0.010602772992417187
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}",moloco,0.3648978133333333,0.35032827,0.014569543333333324,0.03992773538498595
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}",liveintent,0.34016799000000003,0.34133244,0.0011644499999999836,0.0034231615973037144
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}",beehiiv,0.4773862166666667,0.4423793,0.03500691666666672,0.07333038836165262
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}",amazon,1.3454192333333335,1.1878667,0.1575525333333334,0.11710292928025878
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",meta,1.0443267,0.016287414,1.028039286,0.9844039092364487
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",google,0.05527999733333333,-0.00815084,0.06343083733333332,1.147446461526602
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",snapchat,0.109747375,-0.028747529,0.138494904,1.2619427480611725
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",tiktok,1.0378102666666666,0.018729951,1.0190803156666666,0.9819524323456941
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",moloco,0.3648978133333333,0.12213434,0.2427634733333333,0.6652916637556539
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",liveintent,0.34016799000000003,0.2503307,0.08983729000000001,0.26409683638957326
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",beehiiv,0.4773862166666667,0.27492642,0.2024597966666667,0.42410063298503975
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",amazon,1.3454192333333335,0.15252051,1.1928987233333335,0.8866371862232681
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",meta,1.0443267,1.0215431,0.022783600000000126,0.021816544573647456
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",google,0.05527999733333333,0.057555676,0.0022756786666666695,0.04116640333653665
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",snapchat,0.109747375,0.10431534,0.005432034999999988,0.049495807986295715
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",tiktok,1.0378102666666666,1.010042,0.02776826666666654,0.026756592759344278
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",moloco,0.3648978133333333,0.36154452,0.0033532933333333403,0.00918967779691826
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",liveintent,0.34016799000000003,0.32978734,0.010380650000000047,0.030516245811371134
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",beehiiv,0.4773862166666667,0.5020849,0.02469868333333325,0.05173731974456852
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",amazon,1.3454192333333335,1.3539326,0.008513366666666577,0.0063276683250426125
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",meta,1.0443267,0.042961106,1.0013655940000001,0.9588623885609743
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",google,0.05527999733333333,-0.03215399,0.08743398733333332,1.5816568659747645
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",snapchat,0.109747375,-0.035198413,0.144945788,1.3207221402789817
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",tiktok,1.0378102666666666,0.053060554,0.9847497126666667,0.9488725871151529
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",moloco,0.3648978133333333,0.10995889,0.25493892333333334,0.6986584024838953
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",liveintent,0.34016799000000003,0.3928677,0.052699709999999955,0.15492260162397975
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",beehiiv,0.4773862166666667,0.33504543,0.14234078666666672,0.29816693841844977
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",amazon,1.3454192333333335,0.046933673,1.2984855603333334,0.9651159491129617
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",meta,1.0443267,0.03636632,1.00796038,0.9651772572701627
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",google,0.05527999733333333,-0.028505092,0.08378508933333333,1.5156493012855428
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",snapchat,0.109747375,-0.019481808,0.129229183,1.1775150248468358
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",tiktok,1.0378102666666666,0.04736448,0.9904457866666666,0.9543611375592481
